"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3442015","SLD","2214 LINSEY ST","TAMPA","33605","EAST TAMPA BLOCKS 1 TO 40","","1,339","$200,000","2","1","0","1943","None","Single Family Residence","$2,327.43","14","14","18","Cash","05/31/2023","$182.97","$149.37","0.82","HAMLIN & ASSOCIATES REALTY LLC","Jackie Hamlin","261533824","781073","Tampa","Tampa"
"1","T3441379","SLD","3801 N 16TH ST","TAMPA","33610","BONITA BLKS 26 TO 30 & 32 TO","","1,581","$200,000","3","2","0","1935","None","Single Family Residence","$813.00","9","9","9","Cash","11/16/2023","$126.44","$126.5","1.00","KELLER WILLIAMS TAMPA CENTRAL","Bradley Chais","449507486","776125","Tampa","Tampa"
"1","T3444617","SLD","1723 E IDELL ST","TAMPA","33604","FERN CLIFF","","1,400","$205,000","3","2","0","1982","None","Single Family Residence","$305.00","9","9","15","Cash","06/13/2023","$142.86","$146.43","1.03","KELLER WILLIAMS TAMPA PROP.","Michael Matthews","261562353","261510424","Tampa","Tampa"
"1","T3442227","SLD","3517 POTTER ST","TAMPA","33605","ROBSON BROS SUB","","1,232","$205,000","3","2","0","1995","None","Single Family Residence","$2,524.69","170","170","191","Cash","11/16/2023","$193.99","$166.4","0.86","FEEL GREAT REAL ESTATE","Noah Bressack","263406339","261010944","Tampa","Tampa"
"1","T3444282","SLD","4506 E 26TH AVE","TAMPA","33605","HIGHLAND ESTATES EAST","","1,182","$207,000","3","2","0","1995","None","Single Family Residence","$451.15","27","27","0","Cash","05/31/2023","$186.04","$175.13","0.94","EZ WAY REALTY","Alberto Delgado","261567642","261553705","Tampa","Tampa"
"1","O6109977","SLD","7410 S MORTON ST","TAMPA","33616","PORT TAMPA CITY MAP","","1,265","$210,000","3","1","0","1968","None","Single Family Residence","$4,144.45","1","1","1","Cash","06/26/2023","$126.48","$166.01","1.31","PREMIUM PROPERTIES R.E SERVICE","LaShon Reid","261209633","261556556","Orlando Regional","Orlando Regional"
"1","T3442303","SLD","4109 E 98TH AVE","TAMPA","33617","TEMPLE KNOLL CORRECT MAP REVIS","","1,340","$210,000","4","1","0","1969","None","Single Family Residence","$2,292.32","5","5","7","Cash","05/23/2023","$186.38","$156.72","0.84","RE/MAX REALTY UNLIMITED","Eddie Collazo PA","261501317","261557773","Tampa","Tampa"
"1","U8198931","SLD","4613 DRIESLER CIR","TAMPA","33634","ROCKY POINT VILLAGE UNIT 3","","864","$215,000","3","1","0","1964","None","Single Family Residence","$3,277.03","14","14","72","Private","07/06/2023","$289.24","$248.84","0.86","RE/MAX ELITE REALTY","Kristen Koenig","261556682","780531","Pinellas Suncoast","Pinellas Suncoast"
"1","O6109858","SLD","8303 N 14TH ST","TAMPA","33604","SULPHUR SPGS ADD","","752","$220,000","3","1","0","1931","None","Single Family Residence","$1,602.35","74","74","84","Conventional","09/05/2023","$312.50","$292.55","0.94","COLDWELL BANKER REALTY","Emelyn Aguilar Moreno","272509978","260033181","Orlando Regional","Orlando Regional"
"1","T3445107","SLD","1419 W LINEBAUGH AVE","TAMPA","33612","GOLFLAND OF TAMPAS NORTH SIDE","","1,250","$225,000","3","1","0","1954","None","Single Family Residence","$309.16","-1","-1","1","Cash","05/23/2023","$199.92","$180","0.90","COLDWELL BANKER REALTY","Chris Mechura","261552969","615700","Tampa","Pinellas Suncoast"
