"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3438815","SLD","4436 W WYOMING AVE","TAMPA","33616","GANDY GARDENS 3","","768","$200,000","2","1","0","1956","None","Single Family Residence","$540.00","0","0","0","Cash","05/02/2023","$260.29","$260.42","1.00","PLATINUM KEY REAL ESTATE","Deborah Brady","261532357","773203","Tampa","Tampa"
"1","T3437135","SLD","7812 RIDEOUT RD","TAMPA","33619","CLAIR MEL CITY UNIT 2","","1,152","$200,000","3","1","1","1958","Private","Single Family Residence","$704.00","21","21","34","Cash","05/27/2023","$225.69","$173.61","0.77","JASON MITCHELL REAL ESTATE FL","Lisa Sparks","261551091","276510000","Tampa","Pinellas Suncoast"
"1","J960024","SLD","1207 E 17TH AVE","TAMPA","33605","ALAMEDA","","1,844","$205,900","3","1","0","1913","None","Single Family Residence","$218.88","0","0","-16","Conventional","03/17/2023","$111.66","$111.66","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","635805","For Future Use","Other"
"1","A4567370","SLD","11112 MAHIN LN","RIVERVIEW","33578","HAPPY ACRES SUB 1 S","","1,404","$215,000","3","2","0","1983","None","Single Family Residence","$2,005.00","82","82","94","Conventional","08/21/2023","$185.11","$153.13","0.83","REALTY ONE GROUP SKYLINE","Troy Funk","281500804","261562380","Sarasota - Manatee","Sarasota - Manatee"
"1","O6101930","SLD","8701 N 13TH ST","TAMPA","33604","ORANGE TERRACE","","1,977","$219,000","3","2","0","1946","None","Single Family Residence","$314.71","3","3","3","Cash","05/01/2023","$110.77","$110.77","1.00","BEYCOME OF FLORIDA LLC","Steven Koleno","364512302","697200","Orlando Regional","Orlando Regional"
"1","U8197165","SLD","8005 S 78TH ST","RIVERVIEW","33578","SUNSHINE ACRES","","1,560","$225,000","3","2","0","1960","None","Single Family Residence","$888.57","1","1","1","Cash","06/02/2023","$160.26","$144.23","0.90","APONE REALTY","Phyllis Apone","283548125","260014479","Pinellas Suncoast","Pinellas Suncoast"
"1","T3439240","SLD","9307 N 27TH ST","TAMPA","33612","TERRACE GABLES","","1,111","$225,000","2","1","0","1959","None","Single Family Residence","$3,028.66","33","33","124","Cash","08/28/2023","$224.93","$202.52","0.90","KELLER WILLIAMS SUBURBAN TAMPA","Luz Colon","261560759","262001995","Tampa","Tampa"
"1","C7474195","SLD","2214 W SKAGWAY AVE","TAMPA","33604","CARROLL CITY","","664","$235,000","2","1","0","1954","None","Single Family Residence","$2,661.43","12","12","12","Conventional","06/07/2023","$375.75","$353.92","0.94","LISA DAVIS POWERHOUSE REAL","Lisa Davis","276503913","772170","Port Charlotte","Port Charlotte"
"1","T3438395","SLD","2329 W BEACH ST","TAMPA","33607","BOUTON & SKINNERS ADD","","1,088","$235,000","3","1","0","1908","None","Single Family Residence","$104.65","27","27","27","Cash","05/19/2023","$243.57","$215.99","0.89","LPT REALTY, LLC","Daven Henry","261543835","261016803","Tampa","Orlando Regional"
"1","J960026","SLD","1704 E CHELSEA ST","TAMPA","33610","BIG OAKS SUB","","1,572","$237,500","3","2","0","1983","None","Single Family Residence","$1,915.00","0","0","-4","Private","03/30/2023","$151.08","$151.08","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","776004","For Future Use","Other"
"1","U8197512","SLD","3102 W LEROY ST Unit#A","TAMPA","33607","DREW'S JOHN H 1ST EXTENSION","","1,176","$240,000","3","1","0","1951","None","Single Family Residence","$404.03","18","18","27","Cash","06/30/2023","$212.50","$204.08","0.96","KELLER WILLIAMS REALTY","Nathanael Scott","260052008","55055","Pinellas Suncoast","Pinellas Suncoast"
"1","T3438148","SLD","12705 FOREST HILLS DR","TAMPA","33612","TAMPAS NORTH SIDE CNTRY CL","","1,258","$240,000","3","1","1","1948","None","Single Family Residence","$2,343.58","23","23","29","Cash","06/02/2023","$238.47","$190.78","0.80","OCEAN BLUE REALTY,INC.","Arielle Corinti","261552921","779727","Tampa","Tampa"
"1","W7854095","SLD","1401 E KNOLLWOOD ST","TAMPA","33604","JACKSON JAS J","","1,243","$250,000","3","1","0","1952","None","Single Family Residence","$4,077.15","0","0","0","Cash","07/05/2023","$205.15","$201.13","0.98","GULF COAST EXECUTIVE REALTY","Rebecca Jonas","266017080","55055","West Pasco","West Pasco"
"1","T3438619","SLD","8523 N MULBERRY ST","TAMPA","33604","SULPHUR HILL","","1,110","$250,000","3","2","0","1940","None","Single Family Residence","$3,305.64","0","0","0","Cash","05/10/2023","$225.23","$225.23","1.00","KELLER WILLIAMS TAMPA CENTRAL","Mark Borges","261553716","260000670","Tampa","Tampa"
"1","W7853850","SLD","1429 LONGWOOD LOOP","TAMPA","33619","CLAIR MEL CITY UNIT 5","","1,080","$251,000","3","2","0","1959","None","Single Family Residence","$2,526.86","4","4","4","Conventional","05/12/2023","$221.76","$232.41","1.05","RE/MAX MARKETING SPECIALISTS","Fran Meyer, PA","285511681","260031661","West Pasco","West Pasco"
"1","T3439191","SLD","3422 E WILDER AVE","TAMPA","33610","BELLMONT HEIGHTS","","1,312","$252,000","3","2","0","2001","None","Single Family Residence","$2,811.00","2","2","2","Conventional","05/05/2023","$205.72","$192.07","0.93","MCPEAK REAL ESTATE FIRM","Jim McPeak","261504574","261016803","Tampa","Tampa"
"1","T3440592","SLD","7014 24TH AVE S","TAMPA","33619","1PE | CLAIR MEL CITY SECTION A UNIT 4","","1,245","$255,000","3","1","0","1973","None","Single Family Residence","$910.00","3","3","3","Cash","05/16/2023","$200.80","$204.82","1.02","BHHS FLORIDA PROPERTIES GROUP","Sarah Hart","261559336","260031891","Tampa","Tampa"
"1","T3437427","SLD","5014 PARKHILL PL","TAMPA","33624","PARKWOOD VILLAGE","","891","$255,000","2","1","0","1979","None","Single Family Residence","$2,671.30","14","14","14","FHA","06/08/2023","$280.47","$286.2","1.02","FUTURE HOME REALTY INC","Esther Reyes-Todd, PA","261536801","261563971","Tampa","Pinellas Suncoast"
"1","L4936575","SLD","3711 W WALLACE AVE","TAMPA","33611","GANDY BLVD PARK 4TH ADD","","950","$260,000","3","1","0","1958","None","Single Family Residence","$3,295.00","5","5","5","Cash","05/01/2023","$273.68","$273.68","1.00","REMAX EXPERTS","Jake Bellamy","265505588","265522421","Lakeland","Lakeland"
"1","U8197387","SLD","9303 N 12TH ST","TAMPA","33612","FAIRVIEW TERRACE","","1,008","$260,000","3","2","0","1930","None","Single Family Residence","$2,014.89","5","5","5","Conventional","06/01/2023","$272.82","$257.94","0.95","CHARLES RUTENBERG REALTY INC","Carlos Simoni","261557378","778905","Pinellas Suncoast","Pinellas Suncoast"
"1","T3438260","SLD","1808 E FRIERSON AVE","TAMPA","33610","SPERRY GROVE ESTATES REV P","","1,614","$260,000","3","2","0","1956","None","Single Family Residence","$727.09","0","0","0","Cash","04/05/2023","$185.87","$161.09","0.87","LAURA FERGUSON REALTY","Laura Ferguson","261528819","779567","Tampa","Tampa"
"1","T3440384","SLD","8725 BUSCH OAKS ST","TAMPA","33617","THE OAKS AT BUSCH","","1,260","$265,000","3","2","0","1997","None","Single Family Residence","$758.14","38","38","40","Cash","07/10/2023","$221.43","$210.32","0.95","PREMIER REALTY OF TAMPA","Richard Stone","261545175","779727","Tampa","Tampa"
"1","O6104948","SLD","5022 S 87TH ST","TAMPA","33619","PROGRESS VILLAGE UNIT 2","","816","$268,000","3","1","0","1960","None","Single Family Residence","$1,713.72","130","118","208","Conventional","12/14/2023","$330.76","$328.43","0.99","LEERDAM PROPERTIES INC.","Philip Shaw","261207648","260000779","Orlando Regional","Orlando Regional"
"1","T3438756","SLD","7906 CROTON AVE","TAMPA","33619","PROGRESS VILLAGE UNIT 1","","924","$268,000","3","1","0","1960","None","Single Family Residence","$1,770.22","6","6","30","FHA","07/14/2023","$279.22","$290.04","1.04","PINEYWOODS REALTY LLC","Rebecca Gustafson","261206707","772170","Tampa","Tampa"
"1","T3440903","SLD","3409 E JEAN ST","TAMPA","33610","WOODLAND TERRACE 2ND ADD","","925","$275,000","3","1","0","1960","None","Single Family Residence","$2,948.23","5","5","5","Conventional","05/23/2023","$286.49","$297.3","1.04","PINEYWOODS REALTY LLC","Kseniya Korneva","261556127","779999","Tampa","Tampa"
"1","T3438533","SLD","8510 N 9TH ST","TAMPA","33604","SULPHUR SPGS ADD","","953","$275,000","3","2","0","1945","None","Single Family Residence","$1,548.63","2","2","2","Conventional","05/01/2023","$283.21","$288.56","1.02","LPT REALTY","Derrick Alexander","261556500","265578063","Tampa","Orlando Regional"
"1","T3437108","SLD","305 LIMONA RD Unit#RE","BRANDON","33510","UNPLATTED","","1,040","$275,000","2","1","0","1957","None","Single Family Residence","$826.30","11","11","11","FHA","05/12/2023","$268.27","$264.42","0.99","CENTURY 21 EXECUTIVE TEAM","Stephanie Birdsong","261536045","621903","Tampa","Pinellas Suncoast"
"1","T3438800","SLD","11549 CRESTLAKE VILLAGE DR","RIVERVIEW","33569","RIVERCREST PHASE 2B2/2C","","1,160","$280,000","3","2","0","2004","Community","Single Family Residence","$4,689.00","4","4","4","Conventional","05/09/2023","$241.38","$241.38","1.00","BAHIA INTERNATIONAL REALTY","Jenn Cook","261524435","774855","Tampa","Tampa"
"1","J959710","SLD","6502 N GLEN AVE","TAMPA","33614","ENDRES SUB","","1,113","$280,000","2","1","0","1959","None","Single Family Residence","$3,223.49","0","0","-65","Private","03/29/2023","$251.57","$251.57","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","261557405","For Future Use","Other"
"1","L4936306","SLD","5006 S 86TH ST","TAMPA","33619","PROGRESS VILLAGE UNIT 02","","1,302","$280,000","3","2","0","1960","None","Single Family Residence","$1,942.08","22","22","53","Conventional","06/23/2023","$230.41","$215.05","0.93","LA ROSA REALTY PRESTIGE","Yuleidis Cutino Aladro","265579860","261016803","Lakeland","Lakeland"
"1","T3437290","SLD","1705 W ELDRED DR","TAMPA","33603","AYALAS ADD TO WELLSWOOD","","1,175","$280,000","3","2","0","1955","None","Single Family Residence","$1,992.29","0","0","0","Conventional","05/18/2023","$238.30","$238.3","1.00","KELLER WILLIAMS REALTY NEW TAMPA","Julian Barrera","261553996","772170","Tampa","Tampa"
"1","T3437118","SLD","6001 N LOIS AVE","TAMPA","33614","PINE CREST MANOR UNIT 2","","1,140","$287,000","3","1","0","1970","None","Single Family Residence","$3,629.25","3","3","3","Cash","04/21/2023","$254.30","$251.75","0.99","EZ WAY REALTY","Osbyel Gonzalez","261549482","279628258","Tampa","Tampa"
