"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","L4939544","SLD","10932 N LANTANA AVE","TAMPA","33612","PLANDOME HEIGHTS SUB","","1,055","$203,500","3","1","0","1955","None","Single Family Residence","$1,220.99","7","7","7","Cash","10/17/2023","$251.18","$192.89","0.77","STRAIGHT UP REALTY & PM LLC","Mary Kay Cook","265501157","265578665","Lakeland","Lakeland"
"1","T3471573","SLD","8606 N SEMMES ST Unit#A","TAMPA","33604","OAK TERRACE REV OF","","808","$205,000","2","1","0","1978","None","Single Family Residence","$1,587.48","6","6","9","VA","10/13/2023","$233.91","$253.71","1.08","FEEL GREAT REAL ESTATE","Noah Bressack","263406339","260033044","Tampa","Tampa"
"1","T3468303","SLD","2618 E EMMA ST","TAMPA","33610","ENGLEWOOD","","850","$207,500","3","1","0","1983","None","Single Family Residence","$1,539.00","12","12","14","Conventional","09/29/2023","$235.18","$244.12","1.04","DEMETER PROPERTIES INC","Tatiana Huudma","261559911","779069","Tampa","Tampa"
"1","U8211731","SLD","1310 LAKEWOOD DR","BRANDON","33510","UNPLATTED","","1,510","$208,000","3","2","0","1956","None","Single Family Residence","$1,319.00","4","4","4","Cash","10/13/2023","$135.70","$137.75","1.02","MELONI REALTY, INC.","Jamie Meloni","261539390","260033811","Pinellas Suncoast","Pinellas Suncoast"
"1","T3472103","SLD","14920 LAURIE LN","TAMPA","33613","BEARSS HEIGHTS SUB","","1,200","$210,000","3","2","0","1959","None","Single Family Residence","$792.72","2","2","2","Cash","10/13/2023","$208.33","$175","0.84","CENTURY 21 CIRCLE","Michelle Glantz","261551184","261554453","Tampa","Tampa"
"1","U8212697","SLD","916 E NEW ORLEANS AVE","TAMPA","33603","DEMOREST","","1,060","$210,000","2","1","0","1927","None","Single Family Residence","$1,385.00","22","22","32","Cash","10/31/2023","$226.41","$198.11","0.88","REALTY EXPERTS","Kyle Noseworthy","261567715","260031755","Pinellas Suncoast","Pinellas Suncoast"
"1","T3474228","SLD","3012 N 73RD ST","TAMPA","33619","SPILLERS SUB","","750","$215,000","2","1","0","1954","None","Single Family Residence","$1,725.00","4","4","4","Conventional","10/24/2023","$286.67","$286.67","1.00","CENTURY 21 BEGGINS ENTERPRISES","Chris Reade","261549299","260011623","Tampa","Tampa"
"1","T3473542","SLD","1209 E 18TH AVE","TAMPA","33605","ALAMEDA","","1,340","$220,000","2","2","0","1903","None","Single Family Residence","$2,007.86","2","2","2","Private","10/11/2023","$164.10","$164.18","1.00","PINEYWOODS REALTY LLC","JIM Stephens","261541626","55055","Tampa","Tampa"
"1","U8213570","SLD","3413 N 12TH ST","TAMPA","33605","CANNING SUB","","1,095","$220,000","3","2","0","1946","None","Single Family Residence","$1,673.00","26","26","36","Cash","11/03/2023","$219.18","$200.91","0.92","BRANDYWINE HOMES USA","Hilary Provost","260050882","798511798","Pinellas Suncoast","Pinellas Suncoast"
"1","J966118","SLD","3917 W WALNUT ST","TAMPA","33607","LINCOLN GARDENS","","940","$220,000","2","1","0","1951","None","Single Family Residence","$2,586.00","9","0","-4","Cash","08/18/2023","$234.04","$234.04","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","616100","For Future Use","Other"
