"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","W7857477","SLD","2925 W DEWEY ST","TAMPA","33607","DREWS JOHN H SUB BLKS 1 TO 10","","980","$200,000","3","1","0","1950","None","Single Family Residence","$272.75","6","6","21","Cash","09/15/2023","$229.59","$204.08","0.89","RE/MAX ALLIANCE GROUP","DJ Arrazcaeta Jr, LLC","261554284","285512846","West Pasco","West Pasco"
"1","T3468098","SLD","618 BREEZEWAY CT","BRANDON","33511","FOUR WINDS ESTATES","","1,220","$201,500","3","2","0","1985","None","Single Family Residence","$3,334.93","9","9","10","Cash","09/12/2023","$131.07","$165.16","1.26","RE/MAX ALLIANCE GROUP","Ann Marie Vaughan","261522889","260015373","Tampa","Tampa"
"1","T3466104","SLD","8517 N TEMPLE AVE","TAMPA","33617","HILLCREST ACRES 2ND ADD","","1,166","$210,000","3","1","0","1960","None","Single Family Residence","$2,083.60","48","48","48","Cash","10/13/2023","$204.97","$180.1","0.88","FEEL GREAT REAL ESTATE","Noah Bressack","263406339","780027","Tampa","Tampa"
"1","T3463099","SLD","4513 W HUMPHREY ST","TAMPA","33614","HUNTINGTON OF CARROLLWOOD","","754","$214,900","1","1","0","1983","None","Single Family Residence","$1,975.48","18","18","18","FHA","09/12/2023","$291.11","$285.01","0.98","PALM ISLAND REALTY","James Nagy, PA","261538623","260000779","Tampa","Tampa"
"1","U8211440","SLD","2323 E 111TH AVE","TAMPA","33612","SHERWOOD HEIGHTS UNIT 1","","1,181","$215,000","3","1","0","1959","None","Single Family Residence","$116.65","0","0","0","FHA","09/30/2023","$182.05","$182.05","1.00","REALTY EXPERTS","Ryan Kirby","260042028","55055","Pinellas Suncoast","Pinellas Suncoast"
"1","T3465342","SLD","8301 N ALASKA ST","TAMPA","33604","SULPHUR SPGS ADD","","1,050","$216,000","3","2","0","1985","None","Single Family Residence","$2,256.90","7","7","13","Cash","10/31/2023","$237.14","$205.71","0.87","LPT REALTY","Bill Buffington","271510107","261016803","Tampa","Orlando Regional"
"1","J965423","SLD","8904 COVERED BRIDGE CT","TAMPA","33634","KENNY K SUB UNIT 2","","992","$225,000","3","2","0","1980","None","Single Family Residence","$2,951.20","0","0","-44","Conventional","08/04/2023","$226.81","$226.81","1.00","KELLER WILLIAMS TAMPA PROP.","Jacqueline Toledo LLC","261536543","771620","Tampa","Tampa"
"1","U8210560","SLD","2509 WESTHIGH AVE","TAMPA","33614","AUBURN HIGHLANDS","","602","$225,000","1","1","0","1951","None","Single Family Residence","$1,372.00","6","6","13","Cash","09/08/2023","$373.75","$373.75","1.00","JAY ALAN REAL ESTATE","Adrianna La Kam","279616603","261558480","Pinellas Suncoast","Pinellas Suncoast"
"1","T3463083","SLD","7811 NORTH ST","RIVERVIEW","33578","HANCOCK SUB NO 2 OF RIVERVIEW REVISED","","1,371","$225,000","3","1","0","1964","None","Single Family Residence","$3,045.00","12","12","12","Cash","08/21/2023","$182.35","$164.11","0.90","RE/MAX REALTY UNLIMITED","Geno Stopowenko","262501221","261561192","Tampa","Tampa"
"1","T3467706","SLD","3202 E 28TH AVE","TAMPA","33605","SALMON SUB","","1,609","$230,000","3","2","0","1975","None","Single Family Residence","$3,150.00","28","28","38","Cash","10/19/2023","$179.61","$142.95","0.80","ALIGN RIGHT REALTY RIVERVIEW","Lisa Tackus","261551050","774502","Tampa","Tampa"
