"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","U8208610","SLD","1106 E SENECA AVE","TAMPA","33612","NEBRASKA AVE HEIGHTS","","946","$200,000","2","2","0","1957","None","Single Family Residence","$1,618.00","21","21","22","Cash","10/13/2023","$221.88","$211.42","0.95","MELONI REALTY, INC.","Jamie Meloni","261539390","779727","Pinellas Suncoast","Pinellas Suncoast"
"1","U8207457","SLD","7908 W HANNA AVE","TAMPA","33615","TOWNN COUNTRY PARK UN 14","","2,015","$200,000","4","2","0","1965","None","Single Family Residence","$4,164.49","0","0","0","Cash","08/09/2023","$99.26","$99.26","1.00","SEFAIR INVESTMENTS INC","Dan Sefair","261523656","260016472","Pinellas Suncoast","Pinellas Suncoast"
"1","U8207257","SLD","2614 E 20TH AVE","TAMPA","33605","OWNAHOME SUB","","788","$200,000","3","2","0","1923","None","Single Family Residence","$764.00","25","25","25","Conventional","09/08/2023","$279.19","$253.81","0.91","HAMPTON REAL ESTATE ADVISORS L","Amy Copeland","261565736","771620","Pinellas Suncoast","Orlando Regional"
"1","T3458036","SLD","8713 N 13TH ST","TAMPA","33604","ORANGE TERRACE","","768","$201,000","3","1","0","1948","None","Single Family Residence","$2,496.00","97","97","102","FHA","11/30/2023","$260.42","$261.72","1.01","REDFIN CORPORATION","Laura Beatty","377561430","261016803","Tampa","Tampa"
"1","O6129669","SLD","8920 N OTIS AVE","TAMPA","33604","CASA LOMA SUB","","922","$205,000","2","2","0","1955","None","Single Family Residence","$3,044.00","10","10","10","Cash","08/28/2023","$238.61","$222.34","0.93","GENEROUS INVESTMENT PROPERTIES","Mark Johnston","261066988","261016148","Orlando Regional","Orlando Regional"
"1","T3461618","SLD","323 E 132ND AVE","TAMPA","33612","INGLEWOOD PARK ADD 4","","744","$205,000","2","1","0","1951","None","Single Family Residence","$2,710.15","5","5","21","Conventional","09/12/2023","$268.73","$275.54","1.03","EXP REALTY LLC","Norma Vargas, PA","285515361","771292","Tampa","Tampa"
"1","T3458702","SLD","7418 LAKESHORE DR","TAMPA","33604","TEMPLE CREST UNIT 3","","928","$205,000","2","1","0","1952","None","Single Family Residence","$723.00","14","14","14","Cash","08/09/2023","$245.69","$220.91","0.90","LPT REALTY","Jacqueline Brazil","261555266","261016803","Tampa","Orlando Regional"
"1","T3460281","SLD","1511 E DIANA ST","TAMPA","33610","RIVERBEND MANOR","","1,278","$210,000","2","2","0","1952","None","Single Family Residence","$705.95","25","25","51","Cash","09/21/2023","$228.48","$164.32","0.72","PHILIDOR BRADY & CO REALTY LLC","Kety Philidor","261548505","261565381","Tampa","Tampa"
"1","T3457880","SLD","2519 WESTHIGH AVE","TAMPA","33614","AUBURN HIGHLANDS","","1,080","$210,000","3","1","0","1948","None","Single Family Residence","$1,435.45","3","3","3","Cash","09/22/2023","$208.33","$194.44","0.93","COOPER & ASSOCIATES REALTY,INC","Linda Besnier","261500070","261016423","Tampa","Tampa"
"1","T3458647","SLD","9803 N 10TH ST","TAMPA","33612","CASTLE HEIGHTS MAP","","700","$215,000","2","1","0","1958","None","Single Family Residence","$2,421.92","5","5","5","FHA","09/08/2023","$307.14","$307.14","1.00","REDFIN CORPORATION","Laura Beatty","377561430","673900","Tampa","Tampa"
"1","J964257","SLD","3103 N 16TH ST","TAMPA","33605","LA CARBAYERA","","1,508","$222,000","4","1","1","1930","None","Single Family Residence","$630.71","0","0","-21","Cash, Private","08/04/2023","$147.21","$147.21","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","635100","For Future Use","Other"
"1","T3462555","SLD","2110 CARROLL PL","TAMPA","33612","LAKE CARROLL GROVE ESTATES","","1,274","$230,000","3","1","0","1957","None","Single Family Residence","$947.05","3","3","3","Cash","08/28/2023","$227.39","$180.53","0.79","KELLER WILLIAMS SUBURBAN TAMPA","Ronnie McLaughlin","261550078","771292","Tampa","Tampa"
"1","J964219","SLD","816 E WILDER AVE","TAMPA","33603","RECORD GROVE","","828","$230,000","2","1","0","1958","None","Single Family Residence","$2,398.16","0","0","-9","FHA","07/20/2023","$277.78","$277.78","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","771292","For Future Use","Other"
"1","T3457717","SLD","8003 N BROOKS ST","TAMPA","33604","SULPHUR SPGS ADD","","1,824","$230,000","4","2","0","1972","None","Single Family Residence","$360.28","6","6","40","Cash","09/22/2023","$169.96","$126.1","0.74","LA ROSA REALTY THE ELITE LLC","Ivy Halliburton","261557113","261561192","Tampa","Tampa"
"1","J964533","SLD","9724 CYPRESS SHADOW AVE","TAMPA","33647","PEBBLE CREEK VILLAGE UNIT 6","","2,033","$235,000","4","2","1","1987","Private","Single Family Residence","$2,365.00","0","0","-51","Cash","07/27/2023","$115.59","$115.59","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","776125","For Future Use","Other"
