"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3435553","SLD","2005 WARRINGTON WAY","TAMPA","33619","CLAIR MEL CITY UNIT 7","","1,725","$205,000","4","3","0","1959","None","Single Family Residence","$3,350.76","12","12","14","Cash","04/26/2023","$133.33","$118.84","0.89","CHARLES RUTENBERG REALTY INC","Barbara Barco","261542357","260000779","Tampa","Pinellas Suncoast"
"1","U8195649","SLD","1630 E MULBERRY DR","TAMPA","33604","FERN CLIFF","","1,546","$207,000","3","2","0","1951","Private","Single Family Residence","$5,383.55","13","13","69","Cash","09/19/2023","$177.88","$133.89","0.75","RE/MAX METRO","Julie Jones","260030705","283541001","Pinellas Suncoast","Pinellas Suncoast"
"1","T3436803","SLD","11007 MARIAN LN","RIVERVIEW","33578","CAPITANO COVE","","1,044","$210,000","3","2","0","1984","None","Single Family Residence","$988.00","6","6","6","Cash","05/01/2023","$238.51","$201.15","0.84","PINEYWOODS REALTY LLC","Ernest Howell III.","261562528","51957D","Tampa","Tampa"
"1","T3434404","SLD","2622 E 27TH AVE","TAMPA","33605","CAMPOBELLO BLOCKS 1 TO 30","","1,016","$220,000","3","1","0","1954","None","Single Family Residence","$351.22","73","0","0","Cash","03/31/2023","$226.38","$216.54","0.96","YOU FIRST REALTY AND ASSOC LLC","Ramez Lahham","261547040","780969","Tampa","Tampa"
"1","T3434240","SLD","2018 E SEWARD ST","TAMPA","33604","HILLSBORO HEIGHTS MAP SOUTH","","920","$225,563","2","2","0","1972","None","Single Family Residence","$1,822.33","5","5","5","Cash","03/31/2023","$216.30","$245.18","1.13","ADVANTAGE REALTY SERVICES, INC","Karen Joyal","261509734","260011623","Tampa","Tampa"
"1","U8193904","SLD","8604 TUPELO DR","TAMPA","33637","TEMPLE PARK UNIT 1","","884","$235,000","3","1","0","1960","None","Single Family Residence","$2,952.03","48","48","48","FHA","06/21/2023","$277.15","$265.84","0.96","FUTURE HOME REALTY INC","Devon Champion","266017147","274501090","Pinellas Suncoast","Pinellas Suncoast"
"1","T3434521","SLD","3702 E ELLICOTT ST","TAMPA","33610","OAK GARDENS SUB","","864","$237,000","3","1","0","1952","None","Single Family Residence","$1,569.20","1","1","1","FHA","05/01/2023","$277.66","$274.31","0.99","PEOPLE'S CHOICE REALTY SVC LLC","Kristen O'Connell-Rubin","261558530","771469","Tampa","Tampa"
"1","T3436581","SLD","3707 E 38TH AVE","TAMPA","33610","HIGHLAND VIEW","","709","$239,900","2","1","0","1967","None","Single Family Residence","$1,178.51","2","2","2","Conventional","04/28/2023","$338.36","$338.36","1.00","PINEYWOODS REALTY LLC","JIM Stephens","261541626","260011623","Tampa","Tampa"
"1","L4936118","SLD","3210 E IDA ST","TAMPA","33610","ALTAMIRA HEIGHTS","","892","$245,000","3","1","0","1954","None","Single Family Residence","$1,298.30","5","5","18","FHA","04/20/2023","$280.27","$274.66","0.98","LIVE FLORIDA REALTY","Kristen Perry Costa","265579589","279594030","Lakeland","Tampa"
"1","T3434763","SLD","7507 N ORLEANS AVE","TAMPA","33604","WILMA SOUTH","","904","$249,000","3","1","0","1945","None","Single Family Residence","$4,094.00","35","35","37","FHA","05/26/2023","$275.44","$275.44","1.00","PEOPLE'S CHOICE REALTY SVC LLC","Ratakonda Naidu","261532762","776445","Tampa","Tampa"
