"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3456348","SLD","10901 N DIXON AVE","TAMPA","33612","FOREST MANOR SUB","","1,412","$200,000","3","1","0","1959","None","Single Family Residence","$3,108.00","0","0","4","Private","06/30/2023","$141.64","$141.64","1.00","RE/MAX PREMIER GROUP","Katerina Villa- Garcia","279520014","621400","Tampa","Tampa"
"1","T3456246","SLD","13611 N 19TH ST","TAMPA","33613","HAMNERS W E PINE VISTA","","1,176","$200,000","3","1","1","1962","None","Single Family Residence","$590.00","3","3","31","Cash","07/18/2023","$186.22","$170.07","0.91","KELLER WILLIAMS TAMPA CENTRAL","Lawrence Levine","261554389","771292","Tampa","Tampa"
"1","W7855854","SLD","2411 THRACE ST","TAMPA","33605","EAST TAMPA BLOCKS 1 TO 40","","916","$205,000","2","1","0","1957","None","Single Family Residence","$2,380.00","27","27","27","Cash","08/09/2023","$240.17","$223.8","0.93","LISTWITHFREEDOM.COM","Ralph Harvey","276593262","635100","West Pasco","West Pasco"
"1","T3455770","SLD","2008 OCEANVIEW PL","TAMPA","33605","EDGEWATER PARK","","848","$210,000","2","1","0","1942","Community","Single Family Residence","$2,362.40","121","16","21","Conventional","08/22/2023","$247.64","$247.64","1.00","MUSGRAVE GROUP LLC","Jeff Musgrave","261553589","261559997","Tampa","Tampa"
"1","T3454489","SLD","802 E HAMILTON AVE","TAMPA","33604","HARMONY HEIGHTS REV MAP OF","","960","$210,000","2","1","0","1919","None","Single Family Residence","$2,206.00","1","1","1","Cash","07/14/2023","$208.33","$218.75","1.05","MIDWEST MANAGEMENT INCORPORATE","Heidi Priebe","505003109","635805","Tampa","Tampa"
"1","T3453318","SLD","8520 N OLA AVE","TAMPA","33604","MANOR HILLS SUB","","864","$212,500","2","1","0","1960","None","Single Family Residence","$506.89","4","4","4","Cash","08/03/2023","$230.32","$245.95","1.07","LPT REALTY","Carey Lewis","261550144","261010944","Tampa","Orlando Regional"
"1","O6120721","SLD","2623 E 38TH AVE","TAMPA","33610","ENGLEWOOD","","1,135","$215,000","4","1","0","1928","None","Single Family Residence","$247.66","30","30","30","Cash","08/03/2023","$189.43","$189.43","1.00","ASSET ONE REALTY INC","Wendy Golding","261064633","772170","Orlando Regional","Orlando Regional"
"1","T3455734","SLD","1816 E JUNEAU ST","TAMPA","33604","KATHRYN PARK","","721","$223,500","2","1","0","1954","None","Single Family Residence","$2,214.00","11","11","44","FHA","09/25/2023","$312.07","$309.99","0.99","KELLER WILLIAMS TAMPA PROP.","Christine Barlow","261559407","260031661","Tampa","Tampa"
"1","T3457439","SLD","1210 E CAYUGA ST","TAMPA","33603","NEBRASKA HEIGHTS","","749","$228,000","3","1","1","1935","None","Single Family Residence","$2,299.00","8","8","8","Cash","09/07/2023","$304.41","$304.41","1.00","KELLER WILLIAMS SOUTH TAMPA","Kai Ozkul","261547450","773203","Tampa","Tampa"
"1","U8204857","SLD","4309 E OSBORNE AVE","TAMPA","33610","EASTERN HEIGHTS","","768","$229,000","3","1","0","1960","None","Single Family Residence","$1,350.00","26","26","62","FHA","09/11/2023","$299.35","$298.18","1.00","REAL BROKER, LLC","Jose Mejia","261544218","780605","Pinellas Suncoast","Orlando Regional"
"1","T3454187","SLD","1936 W CHERRY ST","TAMPA","33607","MAC FARLANES REV MAP OF ADD","","902","$230,000","3","1","0","1913","None","Single Family Residence","$265.00","3","3","3","Cash","08/22/2023","$293.79","$254.99","0.87","HOMEWARD REAL ESTATE","Roxanne Marchetta","261531403","55055","Tampa","Tampa"
"1","T3456331","SLD","13202 LARAWAY CT","RIVERVIEW","33579","SUMMERFIELD VILLAGE II TR 1","","1,236","$232,500","3","2","0","1989","Community","Single Family Residence","$1,385.23","102","18","18","Cash","09/12/2023","$176.70","$188.11","1.06","COLDWELL BANKER REALTY","Trent Davis","261544756","639511","Tampa","Tampa"
"1","T3454134","SLD","10505 GOLDWATER LN","RIVERVIEW","33578","SOUTH POINTE PH 04","","1,495","$233,000","3","2","0","2001","Community","Single Family Residence","$2,183.65","0","0","1","Cash","07/11/2023","$165.22","$155.85","0.94","ALIGN RIGHT REALTY RIVERVIEW","Janet Medrano","261562060","774502","Tampa","Tampa"
"1","T3455884","SLD","911 E LAKE AVE","TAMPA","33605","FRANCIS","","1,427","$239,500","3","1","0","1925","None","Single Family Residence","$1,180.77","77","77","77","Cash","10/16/2023","$209.53","$167.83","0.80","PEOPLE'S CHOICE REALTY SVC LLC","Marie McKinnon","261541547","771469","Tampa","Tampa"
"1","T3455705","SLD","2619 DURHAM ST","TAMPA","33605","EAST TAMPA BLOCKS 1 TO 40","","957","$240,000","2","1","0","1959","None","Single Family Residence","$266.05","33","33","60","FHA","11/20/2023","$265.41","$250.78","0.94","DALTON WADE INC","Olga Roman","261556230","771565","Tampa","Pinellas Suncoast"
"1","T3454510","SLD","1719 WAIKIKI WAY","TAMPA","33619","CLAIR MEL CITY UNIT 6","","888","$240,000","2","1","0","1959","None","Single Family Residence","$651.00","4","4","4","FHA","07/26/2023","$261.26","$270.27","1.03","PREMIER SOTHEBYS INTL REALTY","Holly Golden","249527971","261560737","Tampa","Tampa"
"1","OM659830","SLD","918 E IDA ST","TAMPA","33603","BUFFALO","","1,110","$241,372","3","2","0","1923","None","Single Family Residence","$2,093.00","58","58","87","Cash","10/13/2023","$233.33","$217.45","0.93","KELLER WILLIAMS ATLANTIC PARTNERS","Sami Morton","270539686","270519807","West Volusia","West Volusia"
"1","T3455597","SLD","4008 E OSBORNE AVE","TAMPA","33610","UNPLATTED","","960","$247,500","3","2","0","1966","None","Single Family Residence","$3,435.00","3","3","12","Conventional","08/07/2023","$252.06","$257.81","1.02","MIHARA & ASSOCIATES INC.","Leon Smith","261554288","779879","Tampa","Tampa"
"1","T3453585","SLD","3201 E HANNA AVE","TAMPA","33610","WOODLAND TERRACE 4TH ADD","","2,472","$250,000","5","2","0","1960","None","Single Family Residence","$822.54","16","16","72","Cash","09/05/2023","$104.77","$101.13","0.97","GOLD REAL ESTATE SOLUTIONS","Richard Miller","261592392","779727","Tampa","Tampa"
"1","T3454926","SLD","1527 W RIVER LN","TAMPA","33603","RIVERSHORES","","1,216","$253,000","2","1","0","1954","None","Single Family Residence","$3,523.82","4","4","14","Cash","07/17/2023","$226.15","$208.06","0.92","TAYLORMADE PROPERTIES, INC.","Julie Minardi","261532964","632000","Tampa","Tampa"
"1","T3453745","SLD","1320 WINDSOR WAY","TAMPA","33619","CLAIR MEL CITY UNIT NO 5","","1,248","$255,000","3","1","0","1959","None","Single Family Residence","$2,294.00","9","9","11","FHA","08/12/2023","$200.32","$204.33","1.02","EXP REALTY LLC","Ken Jones","261552096","261560737","Tampa","Sarasota - Manatee"
"1","C7477101","SLD","6905 WILDWOOD OAK DR","TAMPA","33617","OAK RUN ESTATES","","1,200","$260,000","3","2","0","2006","None","Single Family Residence","$3,050.89","2","2","2","Conventional","08/03/2023","$195.00","$216.67","1.11","COZZA INVESTMENT GROUP","Sig Sphatt","252012775","261567655","Port Charlotte","Port Charlotte"
