"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3449563","SLD","7010 CONIFER DR","TAMPA","33637","TEMPLE PARK UNIT 2","","1,172","$200,000","2","1","0","1961","None","Single Family Residence","$845.02","10","10","12","Cash","06/26/2023","$191.98","$170.65","0.89","ANTON AGENCY","Y Moon","261567131","279591993","Tampa","Tampa"
"1","J961949","SLD","8301 OLEANDER LN","TAMPA","33637","TEMPLE PARK UNIT 8","","1,358","$200,000","2","2","1","1972","None","Single Family Residence","$1,017.30","0","0","-11","Cash","05/30/2023","$147.28","$147.28","1.00","RE/MAX METRO","Tina Herrell","260036768","283541001","Pinellas Suncoast","Pinellas Suncoast"
"1","U8203473","SLD","4814 S 86TH ST","TAMPA","33619","PROGRESS VILLAGE UNIT 3 A","","864","$210,000","4","2","0","1961","None","Single Family Residence","$3,134.24","4","4","4","Cash","07/31/2023","$248.73","$243.06","0.98","HEART OF FLORIDA REALTY","Justin Noe","219538160","281515992","Pinellas Suncoast","Pinellas Suncoast"
"1","T3449552","SLD","7012 CONIFER DR","TAMPA","33637","TEMPLE PARK UNIT 2","","1,096","$210,000","3","2","0","1961","None","Single Family Residence","$912.52","34","34","36","Cash, Private","08/01/2023","$209.85","$191.61","0.91","ANTON AGENCY","Y Moon","261567131","260011623","Tampa","Tampa"
"1","T3453017","SLD","2806 N 17TH ST","TAMPA","33605","SANCHEZ & HAYA REAL ESTATE C","","1,380","$215,000","3","1","0","1930","None","Single Family Residence","$2,659.00","18","18","31","Cash","08/14/2023","$195.65","$155.8","0.80","KELLER WILLIAMS TAMPA CENTRAL","Jason Papi","261557876","635805","Tampa","Tampa"
"1","A4573328","SLD","3409 N 12TH ST","TAMPA","33605","CANNING SUB","","1,464","$215,000","4","2","0","1925","None","Single Family Residence","$2,056.57","3","3","4","Cash","07/19/2023","$163.87","$146.86","0.90","W.I.T. REALTY LLC","Jeff Mann","281502665","261554283","Sarasota - Manatee","Sarasota - Manatee"
"1","T3449588","SLD","8710 N MANDARINE PL N","TAMPA","33617","DRUID HILLS REV","","975","$215,000","2","2","0","1989","None","Single Family Residence","$1,855.50","4","4","4","Conventional","07/14/2023","$235.90","$220.51","0.93","ROYAL REALTY OF FLORIDA","Vaughn Rice","261535732","261560267","Tampa","Tampa"
"1","O6116562","SLD","7305 N COARSEY DR","TAMPA","33604","GROVE PARK ESTATES","","978","$220,000","2","1","0","1955","None","Single Family Residence","$2,769.21","11","11","34","Private","07/12/2023","$255.62","$224.95","0.88","INVESTOR TRUSTEE SERVICES","Melina Camacho","272510092","261568805","Orlando Regional","Orlando Regional"
"1","J962060","SLD","3013 N 42ND ST","TAMPA","33605","HIGHLAND PINES REV","","1,748","$220,000","3","2","0","1960","None","Single Family Residence","$4,044.00","0","0","-118","FHA","05/31/2023","$125.86","$125.86","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","279594346","For Future Use","Other"
"1","T3451095","SLD","3103 E EMMA ST","TAMPA","33610","ORANGE HILL HEIGHTS WEST","","725","$225,000","3","1","0","1920","None","Single Family Residence","$2,022.83","24","24","57","FHA","09/19/2023","$303.45","$310.34","1.02","LPT REALTY","Jonathan DeBellevue","261565737","260031661","Tampa","Orlando Regional"
"1","O6118578","SLD","3223 N 48TH ST","TAMPA","33605","UCETA PINES","","1,092","$228,000","3","1","0","1952","None","Single Family Residence","$1,675.80","59","59","72","FHA","09/25/2023","$210.53","$208.79","0.99","METRO BROKERS FLORIDA LLC","Brooke Williams","261229040","261560975","Orlando Regional","Orlando Regional"
"1","T3453089","SLD","3108 E DIANA ST","TAMPA","33610","HILLS SUB","","1,428","$229,000","3","2","0","1955","None","Single Family Residence","$577.07","13","13","32","Cash","08/21/2023","$175.07","$160.36","0.92","GOLD REAL ESTATE SOLUTIONS","Randys Oliva","261563616","55055","Tampa","Tampa"
"1","T3449602","SLD","2120 W ELM ST","TAMPA","33604","AYALAS GROVE SUB","","1,372","$230,000","3","2","0","1956","None","Single Family Residence","$1,013.39","4","4","4","Cash","07/14/2023","$217.93","$167.64","0.77","KELLER WILLIAMS TAMPA PROP.","Jacqueline Toledo LLC","261536543","771620","Tampa","Tampa"
"1","U8203563","SLD","5203 N MENDENHALL DR","TAMPA","33603","3HP","","1,456","$235,000","3","2","0","1995","None","Single Family Residence","$165.00","16","16","22","Cash","07/21/2023","$178.57","$161.4","0.90","FUTURE HOME REALTY INC","Bernie Lutz","261558879","272561339","Pinellas Suncoast","Pinellas Suncoast"
"1","T3449830","SLD","3410 E NORTH BAY ST","TAMPA","33610","MONTANA CITY","","1,144","$235,000","3","2","0","1924","None","Single Family Residence","$2,146.00","34","34","35","Conventional","07/28/2023","$217.66","$205.42","0.94","FUTURE HOME REALTY INC","Andrei Dovgopolyi","261549033","260031661","Tampa","Pinellas Suncoast"
"1","U8203799","SLD","8514 N DIXON AVE","TAMPA","33604","IRVINTON HEIGHTS","","1,187","$245,000","2","2","0","1989","None","Single Family Residence","$422.00","4","4","4","Conventional","07/14/2023","$210.61","$206.4","0.98","RE/MAX METRO","Melissa Sontheimer","260040503","261010944","Pinellas Suncoast","Pinellas Suncoast"
"1","T3451734","SLD","8307 N GREENWOOD AVE","TAMPA","33617","TEMPLE CREST UNIT 2","","1,026","$245,000","3","1","0","1947","None","Single Family Residence","$1,477.68","8","8","8","FHA","08/11/2023","$243.57","$238.79","0.98","EXP REALTY LLC","Joseph Kipping P.A.","261542692","265579275","Tampa","Sarasota - Manatee"
"1","T3451160","SLD","8730 N HYALEAH RD","TAMPA","33617","LINDA DIANE SUB","","1,300","$245,000","3","1","0","1960","Private","Single Family Residence","$172.00","35","35","36","Conventional","08/14/2023","$199.23","$188.46","0.95","TAMPA BAY REAL ESTATE PLACE","Sandi Thompson","261544005","1046627","Tampa","Tampa"
