"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3472163","CAN","19336 PADDOCK VIEW DR","TAMPA","33647","$600,000","","","","28","28","Two","","3","20x40","Square Feet","2015","3,288","4,323"
"1","T3466270","CAN","7912 PAT BLVD","TAMPA","33615","$600,000","","","","63","63","One","","","","Square Feet","1970","2,352","2,676"
"1","T3459279","CAN","10228 GARDEN ALCOVE DR","TAMPA","33647","$600,000","","","","118","118","Two","","3","","Square Feet","1999","3,525","4,776"
"1","U8204264","CAN","2109 W CHERRY ST","TAMPA","33607","$600,000","","","","65","65","Two","","1","","Square Feet","2022","1,582","1,876"
"1","U8204245","CAN","2111 W CHERRY ST","TAMPA","33607","$600,000","","","","65","65","Two","","1","","Square Feet","2022","1,582","1,876"
"1","T3443362","CAN","11404 LAKE LUCAYA DR","RIVERVIEW","33579","$600,000","","","","55","55","Two","","3","","Square Feet","2016","3,404","4,215"
"1","U8170175","CAN","7307 S MASCOTTE ST","TAMPA","33616","$600,000","","","","151","151","Two","","","","Square Feet","2005","2,238","2,412"
"1","T3485566","CAN","20426 WALNUT GROVE LN","TAMPA","33647","$610,000","","","","13","13","One","","3","","Square Feet","2006","2,773","3,798"
"1","T3471234","CAN","11431 GEORGETOWN CIR","TAMPA","33635","$610,000","","","","62","104","One","","2","20x18","Square Feet","1995","2,207","2,942"
"1","T3452513","CAN","2418 OAK LANDING DR","BRANDON","33511","$615,000","","","","13","13","One","","2","","Square Feet","1989","2,688","3,878"
"1","T3397546","CAN","12252 BLUE PACIFIC DR","RIVERVIEW","33579","$615,000","","","","109","109","Two","","2","","Square Feet","2019","3,092","4,019"
"1","T3457994","CAN","11431 GEORGETOWN CIR","TAMPA","33635","$619,999","","","","42","42","One","","2","","Square Feet","1995","2,207","3,142"
"1","U8221773","CAN","7519 N COOLIDGE AVE","TAMPA","33614","$620,000","","","","18","551","Two","","2","","Square Feet","2023","2,303","3,296"
"1","T3373320","CAN","7519 N COOLIDGE AVE","TAMPA","33614","$620,000","","","","533","533","Two","","2","20X20","Square Feet","2023","2,303","3,296"
"1","T3455871","CAN","20254 RAVENS END DR","TAMPA","33647","$624,500","","","","44","44","One","","2","","Square Feet","2009","2,859","3,647"
"1","T3464308","CAN","1509 W WINDHORST RD","BRANDON","33510","$624,900","","","","63","63","Two","","","","Square Feet","1900","2,678","2,984"
"1","T3458211","CAN","8010 CYPRESS CROSSING CT","TAMPA","33647","$624,900","","","","80","80","Two","","3","","Square Feet","2013","3,096","3,096"
"1","T3472364","CAN","15838 GLENARN DR","TAMPA","33618","$625,000","","","","10","10","Two","","2","","Square Feet","1987","2,462","3,641"
"1","T3470652","CAN","4408 W SAN MIGUEL ST","TAMPA","33629","$625,000","","","","82","82","One","","","","Square Feet","1960","1,664","1,760"
"1","T3462331","CAN","13017 WILLOW GROVE DR","RIVERVIEW","33579","$625,000","","","","55","55","Two","","3","","Square Feet","2022","3,275","3,600"
"1","T3451610","CAN","9315 KNIGHTSBRIDGE CT","TAMPA","33647","$625,000","","","","42","42","Two","","2","20x20","Square Feet","1992","3,235","4,018"
"1","T3450464","CAN","10716 DALTON AVE","TAMPA","33615","$625,000","","","","32","182","Two","","2","20x20","Square Feet","1961","1,500","2,964"
"1","T3447500","CAN","3013 GRAHAM LN","TAMPA","33618","$625,000","","","","149","327","One","","2","00x00","Square Feet","1987","2,200","3,356"
"1","A4570167","CAN","12350 CREEK EDGE DR","RIVERVIEW","33579","$625,000","","","","92","92","One","","3","","Square Feet","2006","3,134","4,065"
"1","T3472627","CAN","12756 TANNENCREST DR","RIVERVIEW","33579","$627,000","","","","77","77","Two","","2","20x20","Square Feet","2022","2,937","3,430"
"1","U8213933","CAN","12906 TWIN BRIDGES DR","RIVERVIEW","33579","$627,400","","","","23","23","One","","3","","Square Feet","2022","2,563","4,000"
"1","U8216123","CAN","5813 OSCEOLA PL Unit#1/2","TAMPA","33604","$629,900","","","","49","87","One","","1","","Square Feet","1946","2,200","2,500"
"1","T3396985","CAN","4917 CARLYLE RD","TAMPA","33615","$629,900","","","","223","223","One","","","","Square Feet","1963","1,992",""
"1","T3434577","CAN","606 SPRING BLOSSOM CT","BRANDON","33511","$630,000","","","","67","67","One","","3","","Square Feet","1997","2,844","4,033"
"1","T3440424","CAN","7004 DOWLING MILL CIR","TAMPA","33625","$634,900","","","","177","177","Two","","2","","Square Feet","2013","3,181","3,864"
"1","T3460916","CAN","8116 N ORLEANS AVE","TAMPA","33604","$638,000","","","","117","117","One","","2","","Square Feet","2003","2,462","17,424"
"1","T3462739","CAN","20001 BEARS TRACK LN","TAMPA","33647","$639,947","","","","111","111","Two","","3","","Square Feet","2010","3,600","3,600"
"1","U8218155","CAN","13017 WILLOW GROVE DR","RIVERVIEW","33579","$640,000","","","","45","100","Two","","3","","Square Feet","2022","3,316","4,266"
"1","T3467329","CAN","13125 FOXTAIL FERN DR","RIVERVIEW","33579","$645,000","","","","33","33","Two","","3","","Square Feet","2021","3,419","4,305"
"1","U8220270","CAN","4405 N SUWANEE AVE","TAMPA","33603","$649,000","","","","34","34","Two","","","","Square Feet","1941","2,880","4,080"
"1","T3466750","CAN","5614 PINEY LANE DR","TAMPA","33625","$649,000","","","","11","11","One","","2","","Square Feet","1991","2,405","3,213"
"1","T3447812","CAN","3412 HANDY RD","TAMPA","33618","$649,000","","","","97","97","One","","","","Square Feet","1964","2,876","3,392"
"1","T3474396","CAN","7710 S DESOTO ST","TAMPA","33616","$649,900","","","","49","49","Two","","2","","Square Feet","2011","2,308","3,086"
