"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3394033","CAN","13128 ROYAL PINES AVE","RIVERVIEW","33579","$415,000","","","","236","236","One","","2","","Square Feet","2013","1,939","2,476"
"1","T3480894","CAN","20043 HERITAGE POINT DR","TAMPA","33647","$417,900","","","","45","45","Two","","2","18x21","Square Feet","2006","1,823","2,301"
"1","T3473359","CAN","1005 E PATTERSON ST","TAMPA","33604","$418,000","","","","71","71","One","","","","Square Feet","1939","1,238","1,238"
"1","T3476753","CAN","1342 W LA SALLE ST","TAMPA","33607","$419,000","","","","24","24","One","","1","","Square Feet","2006","1,250","1,639"
"1","T3468316","CAN","800 E BAKER ST","TAMPA","33603","$419,000","","","","78","78","Two","","2","","Square Feet","2007","1,755","2,430"
"1","T3441190","CAN","7720 MARBELLA CREEK AVE","TAMPA","33615","$419,000","","","","98","98","One","","2","","Square Feet","1993","1,227","1,973"
"1","T3425718","CAN","2317 W SAINT JOHN ST","TAMPA","33607","$419,000","","","","235","235","One","","","","Square Feet","1927","1,529","1,765"
"1","T3457900","CAN","7106 NIGHTSHADE DR","RIVERVIEW","33578","$419,900","","","","29","29","Two","","2","22x20","Square Feet","2015","2,267","2,940"
"1","T3457458","CAN","10507 SEDGEBROOK DR","RIVERVIEW","33569","$419,900","","","","1","1","One","","2","","Square Feet","1993","2,152","2,901"
"1","T3450545","CAN","5017 CARROLLWOOD MEADOWS DR","TAMPA","33625","$420,000","","","","1","1","One","","1","","Square Feet","1980","1,271","1,915"
"1","T3438161","CAN","2518 LORRAINE ST","TAMPA","33614","$420,000","","","","88","88","One","","","","Square Feet","1971","1,356","1,422"
"1","T3419050","CAN","13351 GRAHAM YARDEN DR","RIVERVIEW","33579","$420,000","","","","30","30","Two","","2","","Square Feet","2011","2,482","5,650"
"1","U8198980","CAN","4231 HARTFORD LAKE DR","TAMPA","33619","$424,300","","","","186","186","One","","2","","Square Feet","2006","2,460","3,140"
"1","T3479190","CAN","10120 CRESTED FRINGE DR","RIVERVIEW","33578","$424,900","","","","11","11","Two","","2","","Square Feet","2019","2,949","3,405"
"1","T3469435","CAN","1728 W PINE ST","TAMPA","33607","$424,900","","","","37","37","Two","","","","Square Feet","1926","2,228","2,228"
