"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3463484","ACT","3121 CHEROKEE AVE","TAMPA","33611","$999,000","","","","136","136","Two","","2","","Square Feet","2023","3,037","3,852"
"1","T3439104","ACT","4422 W TRILBY AVE","TAMPA","33616","$999,000","","","","245","245","Two","","2","19x18","Square Feet","2023","2,458","3,046"
"1","T3489395","ACT","8823 STILLWATERS LANDING DR","RIVERVIEW","33578","$999,900","","","","16","16","One","","3","23x30","Square Feet","1999","3,008","4,236"
"1","T3401162","ACT","3504 W ROGERS AVE","TAMPA","33611","$999,990","","","","453","453","Two","","2","","Square Feet","2023","3,306",""
"1","T3382397","ACT","824 W COLUMBUS DR","TAMPA","33602","$999,990","","","","545","545","Two","","2","","Square Feet","2023","2,963",""
"1","T3484181","ACT","2918 N WOODROW AVE","TAMPA","33602","$999,999","","","","43","43","Two","","2","","Square Feet","2024","2,900","2,900"
"1","T3374520","ACT","2223 SHADEHILL CT","TAMPA","33612","$999,999","","","","504","504","Two","","4","31x28","Square Feet","1989","5,951",""
"1","T3483794","ACT","408 1/2 E OAK AVE Unit#5","TAMPA","33602","$1,038,322","","","","46","46","Two","","2","","Square Feet","2023","2,586","2,586"
"1","T3466940","ACT","705 W OHIO AVE","TAMPA","33603","$1,049,000","","","","122","122","Two","","2","","Square Feet","2023","3,135","3,756"
"1","T3424869","ACT","715 1/2 W PLYMOUTH ST","TAMPA","33603","$1,049,990","","","","328","328","Two","","2","","Square Feet","2022","3,306","3,306"
"1","T3489399","ACT","5810 S 3RD ST","TAMPA","33611","$1,049,999","","","","14","14","Two","","2","22X22","Square Feet","2007","3,090","3,308"
"1","T3482213","ACT","19432 WHISPERING BROOK DR","TAMPA","33647","$1,050,000","","","","53","53","Two","","3","","Square Feet","2015","5,644","8,695"
"1","T3486270","ACT","3319 W VILLA ROSA ST","TAMPA","33611","$1,075,000","","","","33","33","Two","","2","","Square Feet","2000","2,576","3,144"
"1","T3480604","ACT","3612 E ROYAL PALM CIR","TAMPA","33629","$1,075,000","","","","60","60","Two","","2","18x22","Square Feet","2014","2,436","3,131"
"1","T3485528","ACT","5302 WITHAM CT","TAMPA","33647","$1,095,000","","","","38","38","Two","","3","36X25","Square Feet","2016","3,351","4,589"
"1","T3483255","ACT","1105 W DE LEON ST","TAMPA","33606","$1,095,000","","","","46","46","Two","","","","Square Feet","1919","1,629","1,933"
"1","T3479998","ACT","2301 S SAN JOSE CIR","TAMPA","33629","$1,095,000","","","","62","62","One","","2","","Square Feet","1977","2,205","2,205"
"1","T3423395","ACT","907 W BRADDOCK ST","TAMPA","33603","$1,099,000","","","","321","321","Two","","2","","Square Feet","2023","3,147","3,857"
"1","T3488752","ACT","7210 N HABANA AVENUE","TAMPA","33614","$1,099,990","","","","16","16","One","","2","","Square Feet","1971","3,109","4,563"
"1","T3409265","ACT","3020 W CASS ST","TAMPA","33609","$1,099,990","","","","424","424","Two","","2","","Square Feet","2022","3,004",""
"1","U8223665","ACT","2106 HOUNDSTOOTH DR","TAMPA","33618","$1,100,000","","","","5","5","Two","","3","","Square Feet","2001","3,923","4,945"
"1","T3489355","ACT","5038 W DICKENS AVE","TAMPA","33629","$1,100,000","","","","14","14","One","","2","","Square Feet","1957","1,591","2,503"
"1","T3484166","ACT","525 LUZON AVE","TAMPA","33606","$1,100,000","","","","44","44","Two","","2","","Square Feet","1964","1,536","2,032"
"1","U8215800","ACT","8957 MAGNOLIA CHASE CIR","TAMPA","33647","$1,100,000","","","","36","36","One","Finished","3","26x30","Square Feet","1995","3,660","5,287"
"1","W7857703","ACT","3911 DORAL DR","TAMPA","33634","$1,100,000","","","","83","83","One","","1","","Square Feet","1969","2,360","3,054"
"1","A4583660","ACT","919 W WARREN AVE","TAMPA","33602","$1,149,950","","","","84","84","Two","","2","14x14","Square Feet","2021","3,087","3,903"
"1","T3487812","ACT","5816 S 3RD ST","TAMPA","33611","$1,150,000","","","","26","26","Two","","2","","Square Feet","2023","3,400","3,974"
"1","T3473853","ACT","3231 W OAKELLAR AVE","TAMPA","33611","$1,150,000","","","","88","88","Two","","2","","Square Feet","2001","2,458","3,068"
"1","T3470306","ACT","2910 W AVERILL AVE","TAMPA","33611","$1,150,000","","","","53","157","Two","","2","","Square Feet","2022","2,846","3,224"
"1","T3443544","ACT","6022 RIVER TER","TAMPA","33604","$1,150,000","","","","177","177","Two","","2","18x26","Square Feet","1939","3,164","3,858"
"1","T3485782","ACT","3422 OHIO AVE","TAMPA","33611","$1,170,000","","","","36","36","Two","","2","","Square Feet","2023","3,077","3,998"
"1","T3484591","ACT","4407 W MELROSE AVE","TAMPA","33629","$1,175,000","","","","40","40","One","","2","","Square Feet","1971","2,267","3,441"
"1","T3413915","ACT","1308 W STATE ST","TAMPA","33606","$1,175,000","","","","366","366","Two","","2","20x20","Square Feet","2024","3,300","3,300"
"1","T3432105","ACT","3014 W BALLAST POINT BLVD","TAMPA","33611","$1,189,000","","","","282","282","Two","","2","","Square Feet","2023","3,160","4,009"
"1","T3484914","ACT","5707 INTERBAY BLVD","TAMPA","33611","$1,190,900","","","","32","32","Two","","2","","Square Feet","2013","2,616","3,815"
"1","T3490947","ACT","4713 W SAN RAFAEL ST","TAMPA","33629","$1,199,000","","","","9","9","One","","2","25x30","Square Feet","1967","2,328","3,428"
"1","T3469451","ACT","809 W WOODLAWN AVE","TAMPA","33603","$1,199,000","","","","109","109","Two","","2","","Square Feet","2023","3,538","4,187"
"1","U8205977","ACT","6515 DIMARCO RD","TAMPA","33634","$1,199,000","","","","159","159","Two","","2","","Square Feet","1964","2,430","2,948"
"1","T3484725","ACT","801 W SLIGH AVE","TAMPA","33604","$1,199,900","","","","23","23","Two","","2","","Square Feet","2023","3,542","4,367"
"1","T3472875","ACT","12529 TWIN BRANCH ACRES RD","TAMPA","33626","$1,199,900","","","","91","91","Two","","3","24x28","Square Feet","2011","4,187","5,384"
"1","T3475003","ACT","3215 PARK GREEN DR","TAMPA","33611","$1,200,000","","","","80","80","Two","","2","","Square Feet","2007","2,860","3,555"
"1","T3470614","ACT","3714 W JETTON AVE","TAMPA","33629","$1,200,000","","","","101","101","Two","","2","","Square Feet","2016","3,222","3,948"
"1","U8219880","ACT","4119 W DE LEON ST","TAMPA","33609","$1,249,000","","","","45","45","Two","","2","","Square Feet","1974","2,868","2,930"
"1","T3478022","ACT","3016 W BALLAST POINT BLVD","TAMPA","33611","$1,249,000","","","","70","70","Two","","2","","Square Feet","2023","3,160","4,009"
"1","T3488688","ACT","8461 FLAGSTONE DR","TAMPA","33615","$1,250,000","","","","20","20","Two","","","","Square Feet","1970","3,063","3,533"
"1","T3482391","ACT","1002 W LA SALLE ST","TAMPA","33607","$1,250,000","","","","52","52","One","","2","","Square Feet","1950","2,524","2,524"
"1","U8198541","ACT","12103 LAKE CARROLL DR","TAMPA","33618","$1,250,000","","","","221","221","One","","","","Square Feet","1959","1,887","2,667"
"1","T3477939","ACT","6107 S 4TH ST","TAMPA","33611","$1,270,000","","","","69","69","Two","","2","20x20","Square Feet","2023","3,312","4,334"
"1","T3465371","ACT","6105 S 4TH ST","TAMPA","33611","$1,274,000","","","","128","128","Two","","2","19x20","Square Feet","2023","3,160","4,009"
"1","T3475782","ACT","4702 W BROWNING AVE","TAMPA","33629","$1,279,900","","","","81","81","Two","","2","18x19","Square Feet","1950","2,384","3,032"
