"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3434710","ACT","10405 HAMPTON MEADOW WAY","RIVERVIEW","33578","$530,000","","","","270","270","One","","3","","Square Feet","2015","3,036","3,721"
"1","T3485924","ACT","12573 BERGSTROM BAY DR","RIVERVIEW","33579","$531,870","","","","35","35","Two","","3","29X20","Square Feet","2024","2,453","3,053"
"1","T3461462","ACT","4419 W PRICE AVE","TAMPA","33611","$532,900","","","","143","143","One","","","","Square Feet","1954","1,719","1,719"
"1","T3474037","ACT","4640 W EUCLID AVE","TAMPA","33629","$534,000","","","","88","88","One","","","","Square Feet","1950","1,662","1,662"
"1","T3455890","ACT","11010 SPRING POINT CIR","RIVERVIEW","33579","$534,000","","","","171","171","Two","","2","","Square Feet","2016","3,092","4,017"
"1","T3488505","ACT","3305 W MARLIN AVE","TAMPA","33611","$535,000","","","","11","11","One","","0","","Square Feet","1960","1,008","1,364"
"1","T3485953","ACT","2914 N MASSACHUSETTS AVE","TAMPA","33602","$535,000","","","","32","32","One","","","","Square Feet","1923","1,130","1,310"
"1","T3477028","ACT","4605 W LOUGHMAN ST","TAMPA","33616","$535,000","","","","70","70","One","","0","","Square Feet","1987","1,999","2,055"
"1","O6145429","ACT","10855 CORY LAKE DR","TAMPA","33647","$535,000","","","","78","78","One","","2","","Square Feet","2004","2,111","2,111"
"1","T3460320","ACT","6619 INTERBAY BLVD","TAMPA","33611","$535,000","","","","144","144","One","","","","Square Feet","1985","1,468","1,468"
"1","A4570982","ACT","12977 TWIN BRIDGES DR","RIVERVIEW","33579","$535,000","","","","207","207","Two","","2","","Square Feet","2021","2,937","3,437"
"1","T3485919","ACT","13374 PALMERSTON RD","RIVERVIEW","33579","$537,870","","","","35","35","Two","","3","29X20","Square Feet","2024","2,453","3,053"
"1","T3492415","ACT","5734 RIDGESTONE DR","TAMPA","33625","$539,000","","","","1","1","One","","","","Square Feet","1983","1,676","2,210"
"1","W7859585","ACT","18118 SWEET JASMINE DR","TAMPA","33647","$539,000","","","","39","39","One","","3","30X23","Square Feet","1994","2,112","2,897"
