"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3386623","ACT","8208 N HILLSBOROUGH LN","TAMPA","33604","$375,000","","","","319","319","One","","2","","Square Feet","2023","1,555","1,903"
"1","T3490256","ACT","7408 CAPITANO ST","RIVERVIEW","33578","$377,000","","","","12","12","One","","2","","Square Feet","1974","1,197","1,197"
"1","T3470489","ACT","10312 SOARING EAGLE DR","RIVERVIEW","33578","$377,799","","","","90","90","One","","2","","Square Feet","2003","1,685","2,198"
"1","O6132097","ACT","10606 LOGAN CHASE LN","RIVERVIEW","33579","$377,900","","","","130","130","One","","2","","Square Feet","2004","1,745","2,200"
"1","T3464126","ACT","10211 CLOUDBURST CT","RIVERVIEW","33578","$378,000","","","","131","131","One","","2","","Square Feet","2021","1,846","2,395"
"1","T3475073","ACT","732 TRADEWINDS DR","BRANDON","33511","$378,500","","","","73","73","One","","2","","Square Feet","1971","1,526","2,176"
"1","A4580379","ACT","1525 W RIVER SHORE WAY","TAMPA","33603","$379,000","","","","118","118","One","","","","Square Feet","1950","1,164","1,164"
"1","T3440511","ACT","1215 E NEW ORLEANS AVE","TAMPA","33603","$379,000","","","","239","239","Two","","1","","Square Feet","1924","1,240","1,240"
"1","T3491626","ACT","513 HIGHVIEW CIR S","BRANDON","33510","$379,900","","","","4","4","One","","1","25x12","Square Feet","1974","1,676","2,068"
"1","T3486656","ACT","1523 HIGH KNOLL DR","BRANDON","33511","$379,900","","","","29","29","One","","2","","Square Feet","1986","1,820","2,505"
"1","T3485518","ACT","9032 ASPEN HOLLOW PL","RIVERVIEW","33578","$379,900","","","","37","37","Two","","2","","Square Feet","2011","2,062","2,596"
"1","T3478431","ACT","7414 CLARY SAGE AVE","TAMPA","33619","$379,900","","","","67","67","Two","","2","","Square Feet","2018","1,568","1,568"
"1","U8215491","ACT","8326 RED SPRUCE AVE","RIVERVIEW","33578","$379,900","","","","80","80","One","","2","","Square Feet","2016","1,560","2,150"
"1","T3473441","ACT","810 GRANITE RD","BRANDON","33510","$379,900","","","","77","77","One","","2","","Square Feet","1978","1,875","2,786"
"1","T3472525","ACT","12258 LEGACY BRIGHT ST","RIVERVIEW","33578","$379,900","","","","94","94","One","","2","","Square Feet","2017","1,990","2,441"
"1","T3470985","ACT","12309 HIDDEN BROOK DR","TAMPA","33624","$379,900","","","","102","111","One","","","12x14","Square Feet","1984","1,376","1,788"
