"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","C7484566","ACT","10315 RIVERDALE RISE DR","RIVERVIEW","33578","$495,000","","","","11","11","Two","","3","","Square Feet","2014","2,674","2,674"
"1","T3489133","ACT","14040 CASCADE LN","TAMPA","33618","$495,000","","","","7","7","One","","2","","Square Feet","1976","1,730","1,820"
"1","T3488483","ACT","15702 PINTO PL","TAMPA","33624","$495,000","","","","21","21","One","","2","","Square Feet","1980","1,542","2,669"
"1","T3488217","ACT","3201 S MANHATTAN AVE","TAMPA","33629","$495,000","","","","12","12","One","","","","Square Feet","1953","1,350","1,350"
"1","T3479051","ACT","2708 N JEFFERSON ST","TAMPA","33602","$495,000","","","","57","57","One","","","","Square Feet","1900","1,388","1,500"
"1","T3478929","ACT","13528 COPPER HEAD DR","RIVERVIEW","33569","$495,000","","","","59","59","Two","","2","","Square Feet","2005","3,540","4,766"
"1","T3477213","ACT","19240 EARLY VIOLET DR","TAMPA","33647","$495,000","","","","69","69","Two","","2","","Square Feet","2014","2,848","3,696"
"1","T3474700","ACT","3418 W GRACE ST","TAMPA","33607","$495,000","","","","86","86","One","","","","Square Feet","1961","1,116","1,487"
"1","T3472861","ACT","8711 ASHWORTH DR","TAMPA","33647","$495,000","","","","57","57","One","","2","","Square Feet","1992","1,988","1,988"
"1","T3472177","ACT","10926 ARBOR RIDGE DR","TAMPA","33624","$495,000","","","","96","96","One","","2","","Square Feet","1999","1,819","2,540"
"1","T3468758","ACT","4409 STONEHENGE RD","TAMPA","33624","$495,000","","","","24","24","One","","1","28x30","Square Feet","1978","1,521","1,521"
"1","T3468513","ACT","10409 PLEASANT SPRING WAY","RIVERVIEW","33578","$495,000","","","","109","109","One","","3","28x21","Square Feet","2017","2,728","3,644"
"1","T3437208","ACT","13478 SAGE HOLLOW AVE","RIVERVIEW","33579","$495,480","","","","262","262","One","","2","","Square Feet","2023","2,056","2,444"
"1","U8216980","ACT","4707 W IOWA AVE","TAMPA","33616","$495,500","","","","68","68","One","","","","Square Feet","1956","1,796","1,876"
"1","T3470759","ACT","207 E CLUSTER AVE","TAMPA","33604","$497,000","","","","102","102","One","","","","Square Feet","1995","1,504","1,624"
"1","T3453535","ACT","14705 PENGUIN PL","TAMPA","33625","$497,689","","","","123","123","Three Or More","","2","","Square Feet","1979","2,520","3,617"
"1","O6120904","ACT","6308 INTERBAY BLVD","TAMPA","33611","$497,900","","","","179","179","One","","","","Square Feet","1972","1,369","1,481"
"1","T3490797","ACT","8416 N NEWPORT AVE","TAMPA","33604","$498,000","","","","10","10","One","","2","","Square Feet","2022","1,622","2,119"
"1","T3483175","ACT","3906 W LAUREL ST","TAMPA","33607","$498,000","","","","48","64","One","","1","","Square Feet","1965","1,335","1,817"
"1","T3463406","ACT","7013 EARLY GOLD LN","RIVERVIEW","33578","$498,500","","","","137","253","Two","","2","","Square Feet","2006","3,132","3,666"
"1","T3485374","ACT","9020 WESTBAY BLVD","TAMPA","33615","$498,900","","","","39","39","One","","2","20x19","Square Feet","1996","1,844","2,822"
"1","T3491316","ACT","11308 CALLAWAY POND DR","RIVERVIEW","33579","$499,000","","","","4","4","Two","","3","29x22","Square Feet","2007","3,109","3,971"
"1","T3490860","ACT","5505 COOLIDGE ST","RIVERVIEW","33578","$499,000","","","","9","9","One","","2","","Square Feet","2008","1,989","2,510"
"1","T3489609","ACT","14510 MECCA PL","TAMPA","33625","$499,000","","","","10","10","One","","2","","Square Feet","1981","1,543","1,543"
"1","T3487617","ACT","13403 NIMBLE MINKE PL","RIVERVIEW","33579","$499,000","","","","25","25","One","","3","","Square Feet","2019","2,332","3,163"
"1","T3482979","ACT","532 JULIE LN","BRANDON","33511","$499,000","","","","48","119","One","","1","","Square Feet","1966","1,850","3,009"
"1","T3491293","ACT","7511 N THATCHER AVE","TAMPA","33614","$499,500","","","","6","6","One","","","","Square Feet","1959","1,695","1,840"
"1","U8213717","ACT","6714 S DAUPHIN AVE","TAMPA","33611","$499,500","","","","32","32","One","","","","Square Feet","1984","1,480","2,298"
"1","T3446107","ACT","3604 E COMANCHE AVE","TAMPA","33610","$499,500","","","","213","213","One","","2","20x20","Square Feet","2023","1,720","2,224"
"1","T3487109","ACT","9322 FAIRWAY LAKES CT","TAMPA","33647","$499,700","","","","31","31","Two","","2","","Square Feet","1988","2,577","3,150"
"1","T3490687","ACT","15702 SPRINGMOSS LN","TAMPA","33624","$499,900","","","","10","10","Two","","2","","Square Feet","1981","2,249","3,173"
"1","T3490402","ACT","7213 HAMILTON PARK BLVD","TAMPA","33615","$499,900","","","","7","7","One","","2","","Square Feet","2003","1,998","2,775"
"1","T3489288","ACT","18902 EDINBOROUGH WAY","TAMPA","33647","$499,900","","","","16","16","One","","2","","Square Feet","1989","1,871","2,589"
"1","T3489270","ACT","4601 W HAWTHORNE RD","TAMPA","33611","$499,900","","","","16","16","One","","","","Square Feet","1957","1,300","1,300"
"1","T3488202","ACT","7306 N DARTMOUTH AVE","TAMPA","33604","$499,900","","","","23","23","One","","","","Square Feet","2003","1,585","2,385"
"1","T3483072","ACT","411 BRYAN RD","BRANDON","33511","$499,900","","","","48","48","One","","","","Square Feet","1961","1,092","1,092"
"1","T3482524","ACT","9611 REGENTS PARK DR","TAMPA","33647","$499,900","","","","51","51","One","","2","","Square Feet","1988","1,986","1,986"
"1","O6151699","ACT","3354 FOXRIDGE CIR","TAMPA","33618","$499,900","","","","56","56","One","","2","","Square Feet","1982","1,905","1,905"
"1","U8215999","ACT","2337 W WALNUT ST","TAMPA","33607","$499,900","","","","73","73","Two","","","","Square Feet","2022","1,617","1,646"
"1","T3475374","ACT","10711 SHADY PRESERVE DR","RIVERVIEW","33579","$499,900","","","","81","81","Two","","2","20x21","Square Feet","2007","3,029","3,806"
"1","T3472215","ACT","2533 N HABANA PL","TAMPA","33618","$499,900","","","","93","93","One","","","","Square Feet","1959","1,274","1,866"
"1","U8211117","ACT","11930 STEPPINGSTONE BLVD","TAMPA","33635","$499,900","","","","87","87","One","","2","","Square Feet","1989","1,624","2,391"
"1","T3441735","ACT","5014 N BRANCH AVE","TAMPA","33603","$499,900","","","","137","137","One","","1","","Square Feet","1923","1,255","1,324"
"1","T3471480","ACT","4013 N MUNRO ST","TAMPA","33603","$499,950","","","","100","100","One","","","","Square Feet","1942","1,653","1,653"
"1","T3490751","ACT","10803 ROCKLEDGE VIEW DR","RIVERVIEW","33579","$499,990","","","","5","5","One","","2","","Square Feet","2007","2,607","3,441"
"1","T3481355","ACT","5102 MAYFAIR PARK CT","TAMPA","33647","$499,995","","","","53","53","One","","2","","Square Feet","2002","2,074","2,707"
"1","A4589784","ACT","6308 NESTING CT","TAMPA","33625","$499,999","","","","11","11","One","","2","","Square Feet","1985","1,994","2,699"
"1","T3485801","ACT","6811 N 14TH ST","TAMPA","33604","$499,999","","","","34","34","One","","","","Square Feet","1950","1,378","1,743"
"1","T3484309","ACT","10910 N 19TH ST","TAMPA","33612","$499,999","","","","42","42","Two","","2","","Square Feet","1985","2,156","2,819"
"1","T3489810","ACT","7517 BROOKHAVEN CT","TAMPA","33634","$500,000","","","","13","13","One","","","","Square Feet","1972","1,908","1,908"
"1","U8221570","ACT","2111 CHERRY ST","TAMPA","33607","$500,000","","","","31","31","Two","","1","","Square Feet","2022","1,582","1,876"
"1","U8220123","ACT","6808 S WALL ST","TAMPA","33616","$500,000","","","","42","42","One","","","","Square Feet","1967","1,192","1,192"
"1","O6153562","ACT","4706 ONYX PL","TAMPA","33615","$500,000","","","","49","49","One","","2","","Square Feet","1968","2,048","2,048"
"1","S5093561","ACT","7339 W POCAHONTAS AVE","TAMPA","33634","$500,000","","","","56","56","One","","1","","Square Feet","1978","1,898","1,598"
