"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3367976","EXP","4405 N 38TH ST","TAMPA","33610","$349,900","","","","201","201","One","","","","Square Feet","1928","2,455",""
"1","U8209369","EXP","4405 N 38TH ST","TAMPA","33610","$350,000","","","","30","30","One","","","","Square Feet","1928","2,455","3,293"
"1","T3463601","EXP","2003 E WILDER AVE","TAMPA","33610","$359,900","","","","48","48","One","","","","Square Feet","1945","1,157","1,541"
"1","T3436130","EXP","4925 S 83RD ST","TAMPA","33619","$359,900","","","","49","49","One","","","","Square Feet","1961","1,325","1,392"
"1","T3417871","EXP","1502 W COUNTRY CLUB DR","TAMPA","33612","$359,900","","","","85","85","One","","","","Square Feet","1955","1,062","1,593"
"1","T3444442","EXP","6419 N 48TH ST","TAMPA","33610","$359,999","","","","153","153","Two","","","","Square Feet","1954","1,570","1,570"
"1","T3434683","EXP","8013 TUDOR PL","TAMPA","33610","$360,000","","","","167","167","One","","","","Square Feet","1961","1,152","1,152"
"1","T3426345","EXP","12244 DAWN VISTA DR","RIVERVIEW","33578","$360,000","","","","35","35","One","","2","","Square Feet","2000","1,665","2,286"
"1","T3394551","EXP","13924 BRIARDALE LN","TAMPA","33618","$365,000","","","","115","115","One","","2","","Square Feet","1975","1,475",""
"1","T3403625","EXP","8002 PINE HILL DR","TAMPA","33617","$369,000","","","","134","134","One","","","","Square Feet","1957","1,355",""
"1","T3432845","EXP","6619 N 11TH ST","TAMPA","33604","$369,500","","","","62","62","One","","1","22x18","Square Feet","1950","1,070","1,134"
"1","T3412684","EXP","2122 W CLIFTON ST","TAMPA","33603","$369,900","","","","57","57","Two","","2","","Square Feet","1969","1,520","1,520"
"1","T3383379","EXP","10333 AVELAR RIDGE DR","RIVERVIEW","33578","$369,900","","","","111","111","Two","","2","","Square Feet","2007","2,164",""
"1","R4906866","EXP","12636 ADVENTURE DR","RIVERVIEW","33579","$370,000","","","","46","46","Two","","2","","Square Feet","2005","1,558","2,053"
"1","T3417820","EXP","10639 WALKER VISTA DR","RIVERVIEW","33578","$370,700","","","","20","20","One","","2","","Square Feet","1999","1,685","2,390"
"1","T3416301","EXP","7407 THOMAS WAY","TAMPA","33619","$373,000","","","","81","81","One","","","","Square Feet","1972","1,682","1,682"
"1","T3396413","EXP","2908 E 28TH AVE","TAMPA","33605","$374,990","","","","0","0","Two","","1","","Square Feet","2022","1,698",""
"1","T3474092","EXP","3210 W HARTNETT AVE","TAMPA","33611","$375,000","","","","40","40","One","","","","Square Feet","1950","1,264","1,316"
"1","T3460750","EXP","820 W LOWRY LN","TAMPA","33604","$375,000","","","","79","79","One","","","","Square Feet","1953","1,466","2,152"
"1","T3413701","EXP","1402 W HIAWATHA ST","TAMPA","33604","$375,000","","","","228","228","One","","2","","Square Feet","1950","1,338",""
"1","T3408459","EXP","12420 CEDARFIELD DR","RIVERVIEW","33579","$375,000","","","","63","115","One","","2","","Square Feet","2004","1,685","2,438"
"1","T3407929","EXP","6010 N HIMES AVE","TAMPA","33614","$375,000","","","","92","92","One","","","","Square Feet","1955","1,068",""
"1","T3407612","EXP","9612 LAUREL LEDGE DR","RIVERVIEW","33569","$375,000","","","","88","88","One","","2","","Square Feet","2001","1,953",""
"1","T3405876","EXP","1007 E NORFOLK ST","TAMPA","33604","$375,000","","","","5","5","One","","","","Square Feet","1967","1,264","1,342"
"1","T3397855","EXP","7212 S SHERRILL ST","TAMPA","33616","$377,000","","","","216","216","One","","","","Square Feet","1983","1,536",""
"1","T3469273","EXP","2122 W PINE STREET","TAMPA","33607","$379,000","","","","50","50","One","","","","Square Feet","1918","1,200","1,200"
"1","T3381709","EXP","1017 E 15TH AVE","TAMPA","33605","$379,900","","","","190","190","One","","","","Square Feet","1913","1,420","1,504"
"1","T3367372","EXP","8219 N 9TH ST","TAMPA","33604","$379,900","","","","558","558","One","","2","","Square Feet","2023","1,450","1,822"
"1","T3418526","EXP","2019 HARPER ST","TAMPA","33605","$380,000","","","","57","57","One","","","","Square Feet","1918","2,101","2,263"
"1","A4508656","EXP","1430 E 99TH AVE","TAMPA","33612","$380,000","","","","172","172","One","","2","","Square Feet","2021","1,602",""
"1","A4508554","EXP","9902 N 15TH ST","TAMPA","33612","$380,000","","","","183","183","One","","2","","Square Feet","2021","1,518",""
"1","U8214416","EXP","6205 S HAROLD AVE","TAMPA","33616","$385,000","","","","61","61","One","","","","Square Feet","1965","1,286","1,586"
"1","T3384668","EXP","2909 W HENRY AVE","TAMPA","33614","$385,000","","","","183","183","One","","","","Square Feet","1962","1,090",""
"1","U8181002","EXP","1912 S 45TH ST","TAMPA","33619","$386,000","","","","204","204","One","","","","Square Feet","1987","1,008","1,176"
"1","T3389956","EXP","3212 DELEUIL AVE","TAMPA","33610","$386,500","","","","240","240","One","","2","","Square Feet","2023","1,555","1,907"
"1","U8200824","EXP","10753 GLEN ELLEN DR","TAMPA","33624","$389,000","","","","173","173","Two","","1","","Square Feet","1984","1,589","1,589"
