"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3406954","EXP","11708 ROLLING OAKS LN","TAMPA","33618","THE VILLAGE SOUTH ADD","","2,461","$550,000","4","3","1","1983","Private","Single Family Residence","$2,794.43","2","2","","","","$223.49","","","SOUTHEAST REALTY & MGMT SER.","Alice Prieto","261520056","","Tampa","Tampa"
"1","T3395465","EXP","3004 S WEST SHORE BLVD","TAMPA","33629","SUNSET PARK","","1,667","$550,000","3","2","0","1959","None","Single Family Residence","$6,750.59","90","90","","","","$329.93","","","RE/MAX ALLIANCE GROUP","Lotte Rogers","261519415","","Tampa","Tampa"
"1","T3383798","EXP","2316 W SAINT JOSEPH ST","TAMPA","33607","BOUTON & SKINNERS ADD","","1,214","$550,000","2","1","0","1956","None","Single Family Residence","$2,330.78","259","259","","","","$453.05","","","HOLLAR REAL  ESTATE SERVICES","Simone Hollar","261548592","","Tampa","Tampa"
"1","T3403159","EXP","4526 S HALE AVE","TAMPA","33611","MANHATTAN MANOR 3","","1,677","$555,000","3","2","0","1955","Private","Single Family Residence","$2,610.44","115","115","","","","$330.95","","","ROBERT SLACK LLC","Ashley Dunn LLC","261565811","","Tampa","Pinellas Suncoast"
"1","T3389788","EXP","11154 CREEK HAVEN DR","RIVERVIEW","33569","CREEK VIEW","","3,260","$559,000","5","3","1","2005","Private","Single Family Residence","$3,120.00","182","182","","","","$171.47","","","CENTURY 21 BEGGINS ENTERPRISES","Terri Farless","462543305","","Tampa","Tampa"
"1","T3405168","EXP","11620 WARREN OAKS PL","RIVERVIEW","33578","RIVERVIEW MEADOWS PHASE1A","","3,737","$560,000","5","4","1","2014","None","Single Family Residence","$6,136.14","162","162","","","","$149.85","","","SIVEN PREMIER REAL ESTATE","Kyle Jackson","261559767","","Tampa","Tampa"
"1","T3446304","EXP","6206 S ADELIA AVE","TAMPA","33616","TREASURE PARK","","1,773","$563,768","4","2","0","1970","None","Single Family Residence","$1,179.31","85","85","","","","$317.97","","","STILL WATER PROPERTIES","Jeremy Sullivan","257511153","","Tampa","Tampa"
"1","T3429559","EXP","6822 S WALL ST","TAMPA","33616","UNPLATTED","","1,538","$564,000","4","2","0","1971","None","Single Family Residence","$5,461.00","31","31","","","","$366.71","","","GRECO REAL ESTATE","Mariana Murillo Carvajal","261561419","","Tampa","Sarasota - Manatee"
"1","T3439255","EXP","110 W 122ND AVE","TAMPA","33612","NELMS SUB","","2,318","$565,000","3","2","0","2010","None","Single Family Residence","$2,207.49","382","214","","","","$243.74","","","RE/MAX REALTY UNLIMITED","Sandra Davis","261560053","","Tampa","Tampa"
"1","T3452983","EXP","12102 ECHO BASIN CV","RIVERVIEW","33579","TRIPLE CREEK PH 1 VILLAGE D","","3,656","$575,000","5","3","0","2014","Community","Single Family Residence","$8,470.00","21","21","","","","$157.28","","","CENTURY 21 BEGGINS ENTERPRISES","Andi Simmons","261546150","","Tampa","Tampa"
"1","U8202995","EXP","10826 CRUSHED GRAPE DR","RIVERVIEW","33578","VENTANA GRVS PH 3","","2,470","$575,000","4","2","1","2020","Private, Community","Single Family Residence","$5,301.78","175","175","","","","$232.79","","","MAVREALTY","Nina Becker","260040986","","Pinellas Suncoast","Tampa"
"1","T3411171","EXP","11711 ARBOR MEAD AVE","RIVERVIEW","33569","MANORS AT FOREST GLEN","","2,517","$575,000","3","2","0","2015","None","Single Family Residence","$3,883.19","83","83","","","","$228.45","","","REDFIN CORPORATION","Kathleen Franco","650517386","","Tampa","Tampa"
"1","A4539647","EXP","8904 N 40TH ST","TAMPA","33604","TEMPLE CREST UNIT 1","","1,236","$575,000","3","1","0","1950","None","Single Family Residence","$2,164.92","183","183","","","","$465.21","","","FLATFEE.COM","Cliff Glansen","278017259","","Sarasota - Manatee","Sarasota - Manatee"
"1","U8155532","EXP","7 AMHERST ST","TAMPA","33625","TOWN/CITRUS PK","","1,800","$575,000","3","2","0","2023","None","Single Family Residence","$200.00","312","312","","","","$319.44","","","FUTURE HOME REALTY INC","Kim Doukas","260016919","","Pinellas Suncoast","Pinellas Suncoast"
"1","U8194875","EXP","4116 W CASS ST","TAMPA","33609","BROADMOOR PARK REV","","1,738","$579,000","3","2","0","1956","None","Single Family Residence","$6,079.67","55","55","","","","$333.14","","","MAR-KEY PROPERTY SERVICES LLC","Mike Nakelski","260041031","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3394059","EXP","10805 DESOTO RD","RIVERVIEW","33578","UNPLATTED","","2,486","$579,900","4","3","0","1960","None","Single Family Residence","$1,839.52","27","27","","","","$233.27","","","CHARLES RUTENBERG REALTY INC","Pedro Luna","261556296","","Tampa","Pinellas Suncoast"
"1","T3445693","EXP","11516 CEDAR VALLEY DR","RIVERVIEW","33569","BOYETTE PARK PH 2C/4","","2,966","$579,990","4","2","1","2021","Community","Single Family Residence","$8,631.26","182","182","","","","$195.55","","","HOMETRUST REALTY GROUP","Lily Puello","261560967","","Tampa","West Pasco"
"1","T3409069","EXP","14229 CREEK RUN DR","RIVERVIEW","33579","CREEKSIDE SUB PH 2","","3,103","$580,000","4","3","0","2006","Private","Single Family Residence","$4,083.00","61","61","","","","$186.92","","","REALTY LV, LLC","Rena Upshaw Frazier","261561031","","Tampa","Tampa"
"1","T3384798","EXP","508 DEBRA DR","BRANDON","33510","LAKEWOOD RIDGE ESTATES SOUTH","","2,404","$585,000","4","3","0","2005","Private","Single Family Residence","$4,764.44","159","159","","","","$243.34","","","DALTON WADE INC","Shimon Shifman","261566755","","Tampa","Pinellas Suncoast"
"1","T3403208","EXP","8822 ROCKY CREEK DR","TAMPA","33615","ROCKY CREEK ESTATES","","1,492","$589,900","3","2","0","1976","None","Single Family Residence","$1,578.54","58","58","","","","$395.38","","","AVENUE HOMES LLC","Lisbety Mena","261564065","","Tampa","Tampa"
"1","T3438454","EXP","20152 OAKFLOWER AVE","TAMPA","33647","LIVE OAK PRESERVE PH 2A-VILLAG","","3,163","$590,000","4","3","1","2011","Community","Single Family Residence","$7,142.86","98","98","","","","$186.53","","","ALIGN RIGHT REALTY CARROLLWOOD","Michelle Denham","261556629","","Tampa","Tampa"
"1","T3447307","EXP","11408 EMERALD SHORE DR","RIVERVIEW","33579","LUCAYA LAKE CLUB PH 2B","(Not Assigned)","3,127","$593,000","6","4","0","2018","None","Single Family Residence","$9,247.52","180","180","","","","$189.64","","","ALIGN RIGHT REALTY WESTSHORE","Angela McDaniel","261566457","","Tampa","Tampa"
"1","U8211073","EXP","13447 PALMERA VISTA DR","RIVERVIEW","33579","RESERVE AT PARADERA PH 3","","2,980","$595,000","5","3","0","2020","Community","Single Family Residence","$7,431.00","91","91","","","","$199.66","","","JASON MITCHELL REAL ESTATE FL","Hezron Gomes","260051919","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3430974","EXP","12104 SHADOW RUN BLVD","RIVERVIEW","33569","SHADOW RUN UNIT 1","","2,355","$595,000","4","3","0","1989","None","Single Family Residence","$3,504.00","89","89","","","","$252.65","","","ALIGN RIGHT REALTY RIVERVIEW","BRITNEY HAGIN","261565638","","Tampa","Tampa"
"1","T3416863","EXP","1919 W GRACE ST","TAMPA","33607","BENJAMINS 2ND ADD TO WES","","1,398","$595,000","4","2","0","1949","None","Single Family Residence","$5,223.00","63","63","","","","$425.61","","","CENTURY 21 LIST WITH BEGGINS","Otis Bass, Jr","285513524","","Tampa","Tampa"
"1","T3413380","EXP","6321 S QUEENSWAY DR","TAMPA","33617","THERESA ARBOR","","2,970","$599,000","4","2","1","1987","None","Single Family Residence","$3,218.00","140","140","","","","$201.68","","","MAMMOTH REALTY, LLC","Varghese Mammen","261521562","","Tampa","Tampa"
"1","U8180589","EXP","1003 E 19TH AVE","TAMPA","33605","PARRISH SUB","","1,620","$599,000","3","3","0","1930","None","Single Family Residence","$4,648.00","116","116","","","","$369.75","","","FUTURE HOME REALTY INC","Tyler Sheff","260011595","","Pinellas Suncoast","Pinellas Suncoast"
"1","U8215549","EXP","4113 S DREXEL AVE","TAMPA","33611","LYNWOOD","","1,128","$599,900","3","1","1","1962","None","Single Family Residence","$6,291.00","27","27","","","","$531.83","","","EJI & ASSOCIATES LLC","Edward Inglesby","283560248","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3455257","EXP","17818 EAGLE TRACE ST","TAMPA","33647","HUNTERS GREEN PRCL 21","","2,756","$599,900","4","3","0","1998","None","Single Family Residence","$5,242.54","40","40","","","","$217.67","","","AGILE GROUP REALTY","Judy Johnson","261523521","","Tampa","Tampa"
"1","T3435031","EXP","12376 CREEK EDGE DR","RIVERVIEW","33579","CREEKSIDE SUB PH 2","","3,138","$599,900","4","3","1","2006","None","Single Family Residence","$7,407.00","140","140","","","","$191.17","","","COASTAL PROPERTIES GROUP INTER","Kelly Parks","471502313","","Tampa","Tampa"
