"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3472163","CAN","19336 PADDOCK VIEW DR","TAMPA","33647","K BAR RANCH","","3,288","$600,000","5","3","0","2015","None","Single Family Residence","$7,692.90","28","28","","","","$182.48","","","RE/MAX PREMIER GROUP","Daniel Lee, Sr","261505351","","Tampa","Tampa"
"1","T3466270","CAN","7912 PAT BLVD","TAMPA","33615","PAT ACRES 3RD ADD","","2,352","$600,000","4","4","0","1970","Private","Single Family Residence","$2,522.00","63","63","","","","$255.10","","","CHARLES RUTENBERG REALTY INC","Lori Cheek","261521054","","Tampa","Pinellas Suncoast"
"1","T3459279","CAN","10228 GARDEN ALCOVE DR","TAMPA","33647","ARBOR GREENE PH 1","","3,525","$600,000","4","3","1","1999","None","Single Family Residence","$8,112.22","118","118","","","","$170.21","","","BALCORP REALTY, LLC","Paul McGann","261541313","","Tampa","Tampa"
"1","U8204264","CAN","2109 W CHERRY ST","TAMPA","33607","4PQ | MAC FARLANES REV MAP OF ADDITIONS TO WEST TA","","1,582","$600,000","3","2","1","2022","None","Single Family Residence","$487.11","65","65","","","","$379.27","","","COLDWELL BANKER REALTY","Amanda Rates","260054282","","Pinellas Suncoast","Pinellas Suncoast"
"1","U8204245","CAN","2111 W CHERRY ST","TAMPA","33607","MAC FARLANES REV MAP OF ADD","","1,582","$600,000","3","2","1","2022","None","Single Family Residence","$487.30","65","65","","","","$379.27","","","COLDWELL BANKER REALTY","Amanda Rates","260054282","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3443362","CAN","11404 LAKE LUCAYA DR","RIVERVIEW","33579","LUCAYA LAKE CLUB PH 1C","","3,404","$600,000","4","3","1","2016","None","Single Family Residence","$8,209.44","55","55","","","","$176.26","","","FUTURE HOME REALTY INC","Damla Burnukara","261552247","","Tampa","Pinellas Suncoast"
"1","U8170175","CAN","7307 S MASCOTTE ST","TAMPA","33616","CLOSED ALLEY ABUTTING","","2,238","$600,000","4","2","1","2005","None","Single Family Residence","$3,941.48","151","151","","","","$268.10","","","CHARLES RUTENBERG REALTY INC","Dawn Liedtke","266017144","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3485566","CAN","20426 WALNUT GROVE LN","TAMPA","33647","GRAND HAMPTON PH 1B-3","","2,773","$610,000","4","3","0","2006","None","Single Family Residence","$5,352.00","13","13","","","","$219.98","","","CJB REALTY & PROPERTY MGMT","Ray Chang","261546041","","Tampa","Pinellas Suncoast"
"1","T3471234","CAN","11431 GEORGETOWN CIR","TAMPA","33635","COUNTRYWAY PARCEL B TRACT 12","","2,207","$610,000","3","2","0","1995","Private","Single Family Residence","$3,087.00","104","62","","","","$276.39","","","PREMIER SOTHEBYS INTL REALTY","Paul DeSantis, PA","274502550","","Tampa","Tampa"
"1","T3452513","CAN","2418 OAK LANDING DR","BRANDON","33511","OAK LANDING","","2,688","$615,000","3","2","1","1989","Private","Single Family Residence","$7,727.00","13","13","","","","$228.79","","","COLDWELL BANKER REALTY","Arthur Lester, PA","251001631","","Tampa","Tampa"
