"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","O6150951","ACT","10429 HONEYSUCKLE VINE CIR","RIVERVIEW","33578","MAGNOLIA CREEK PHASE 1","","1,637","$402,318","4","2","0","2023","Community","Single Family Residence","$0.00","56","56","","","","$245.77","","","KELLER WILLIAMS ADVANTAGE REALTY","Tara Garkowski","261084445","","Orlando Regional","Orlando Regional"
"1","T3487502","ACT","12546 TIMBER MOSS LN","RIVERVIEW","33579","TRIPLE CREEK","","1,870","$403,210","4","2","1","2024","None","Single Family Residence","$0.00","28","28","","","","$215.62","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
"1","T3485966","ACT","12558 TIMBER MOSS LN","RIVERVIEW","33579","TRIPLE CREEK","","1,870","$403,210","4","2","1","2024","None","Single Family Residence","$0.00","35","35","","","","$215.62","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
"1","T3485963","ACT","12566 TIMBER MOSS LN","RIVERVIEW","33579","TRIPLE CREEK","","1,870","$403,210","4","2","1","2024","None","Single Family Residence","$0.00","35","35","","","","$215.62","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
"1","T3483720","ACT","10410 WHISPERING HAMMOCK DR","RIVERVIEW","33578","SANCTUARY PH 1","","2,330","$403,750","4","2","1","2015","None","Single Family Residence","$3,360.12","44","44","","","","$173.28","","","MARK SPAIN REAL ESTATE","Gaston Pereira Ocampo","835560694","","Tampa","Orlando Regional"
"1","L4939969","ACT","12267 CYPRESS BRANCH ST","RIVERVIEW","33579","RIDGEWOOD SOUTH","","1,715","$403,880","4","2","0","2023","None","Single Family Residence","$0.00","51","51","","","","$235.50","","","CAMBRIDGE REALTY OF CENTRAL FL","George Lindsey, III","265501020","","Lakeland","Lakeland"
"1","T3484205","ACT","13419 FLADGATE MARK DR","RIVERVIEW","33579","SOUTH FORK UNIT 10","","1,909","$405,000","4","3","0","2007","Community","Single Family Residence","$8,144.81","43","43","","","","$212.15","","","LPT REALTY","Susan Maggio","261568605","","Tampa","Orlando Regional"
"1","W7859109","ACT","1510 WAKEFIELD DR","BRANDON","33511","PEPPERMILL V AT PROVIDENCE LAK","","1,701","$405,000","3","2","0","1996","None","Single Family Residence","$1,613.54","57","57","","","","$238.10","","","FUTURE HOME REALTY INC","Sarina Maupin","260020053","","West Pasco","Pinellas Suncoast"
"1","T3472810","ACT","6416 N 41ST ST","TAMPA","33610","HIGH POINT SUB","","1,646","$405,000","4","2","0","2023","None","Single Family Residence","$0.00","26","26","","","","$246.05","","","EXCLUSIVE HOMES REALTY, INC.","Betty Larralde","261534004","","Tampa","Tampa"
"1","T3466950","ACT","12165 WATER ASH PL","RIVERVIEW","33569","RIDGEWOOD","","2,522","$405,000","5","3","0","2022","None","Single Family Residence","$4,087.00","123","123","","","","$160.59","","","THE SOMERDAY GROUP PL","Megan LaCour","261556072","","Tampa","Tampa"
"1","T3442963","ACT","13362 WILLOW BLUESTAR LOOP","RIVERVIEW","33579","SOUTH FORK TR V PH 2","","1,935","$405,000","4","2","0","2020","Community","Single Family Residence","$4,394.96","234","234","","","","$209.30","","","RE/MAX REALTY UNLIMITED","Melissa Menendez","261560971","","Tampa","Tampa"
"1","O6141362","ACT","4409 W PINTOR PL","TAMPA","33616","MANORS AT MANHATTAN","","1,448","$406,000","4","2","0","1998","None","Single Family Residence","$3,012.00","97","97","","","","$280.39","","","OPENDOOR BROKERAGE LLC","Alli Johnston","304510545","","Orlando Regional","Orlando Regional"
"1","T3485959","ACT","13202 PALMERSTON RD","RIVERVIEW","33579","TRIPLE CREEK","","1,817","$406,690","4","2","0","2024","None","Single Family Residence","$0.00","35","35","","","","$223.82","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
"1","T3481573","ACT","13187 PALMERSTON RD","RIVERVIEW","33579","TRIPLE CREEK","","1,817","$406,690","4","2","0","2024","None","Single Family Residence","$0.00","55","55","","","","$223.82","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
