"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3450117","ACT","8414 N ORANGEVIEW AVE","TAMPA","33617","TEMPLE CREST UNIT 1","","1,176","$200,000","3","1","0","1956","None","Single Family Residence","$801.97","117","117","","","","$170.07","","","ALIGN RIGHT REALTY SUNCOAST","Yasneliz Leyva Gomez","261565195","","Tampa","Tampa"
"1","U8214583","ACT","4920 S 84TH ST","TAMPA","33619","PROGRESS VILLAGE UNIT 2","","864","$210,000","3","1","0","1961","None","Single Family Residence","$1,827.42","36","36","","","","$243.06","","","CHARLES RUTENBERG REALTY INC","Charlie Harris","260000170","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3465075","ACT","1505 E ANNIE ST","TAMPA","33612","TAMPA OVERLOOK","","712","$215,000","2","1","0","1949","None","Single Family Residence","$1,265.04","126","126","","","","$301.97","","","SMITH & ASSOCIATES REAL ESTATE","Ali Morello","261563928","","Tampa","Tampa"
"1","T3489099","ACT","1602 TILSEN DR","TAMPA","33612","TILSEN MANOR BLKS 2 3 4 5 6 8","","1,018","$219,000","2","1","0","1957","None","Single Family Residence","$3,162.00","6","6","","","","$215.13","","","DREAM HOMES REALTY","Josue Romero","261595116","","Tampa","Tampa"
"1","T3486416","ACT","3508 E 28TH AVE","TAMPA","33605","FOREST PARK RESUB OF BLOCKS 1","","1,292","$220,000","3","1","1","1907","None","Single Family Residence","$1,798.64","309","32","","","","$170.28","","","CHARLES RUTENBERG REALTY INC","Tuan Phan","261552892","","Tampa","Pinellas Suncoast"
"1","T3483915","ACT","8738 N TANGERINE PL","TAMPA","33617","DRUID HILLS REV","","1,020","$220,000","3","1","0","1961","None","Single Family Residence","$1,944.81","34","34","","","","$215.69","","","DALTON WADE INC","Hayley Avellaneda","261559301","","Tampa","Pinellas Suncoast"
"1","U8217698","ACT","3407 E 21ST AVE","TAMPA","33605","OBERRYS INDUST SITES COR","","1,228","$220,000","3","1","0","1925","None","Single Family Residence","$2,473.52","50","50","","","","$179.15","","","DALTON WADE INC","Rachelle Smith","261553722","","Pinellas Suncoast","Pinellas Suncoast"
"1","C7478239","ACT","8204 N BROOKS ST","TAMPA","33604","SULPHUR SPGS ADD","","912","$224,900","3","1","0","1922","None","Single Family Residence","$1,749.93","139","139","","","","$246.60","","","RE/MAX PALM REALTY","Dick Erdmann","274501911","","Port Charlotte","Port Charlotte"
"1","T3488561","ACT","8112 N HILLSBOROUGH LN","TAMPA","33604","KATHRYN PARK","","872","$225,000","3","1","0","1948","None","Single Family Residence","$1,639.40","20","20","","","","$258.03","","","CHARLES RUTENBERG REALTY INC","Viktor Pham","261550172","","Tampa","Pinellas Suncoast"
"1","T3484151","ACT","1808 E WATERS AVE","TAMPA","33604","OAK TERRACE","","1,109","$225,000","2","1","0","1958","None","Single Family Residence","$3,210.38","32","32","","","","$202.89","","","ADVANTAGE REALTY SERVICES, INC","Karen Joyal","261509734","","Tampa","Tampa"
"1","T3484895","ACT","4407 N 29TH ST","TAMPA","33610","ENGLEWOOD","","882","$229,000","3","1","0","1920","None","Single Family Residence","$1,601.00","40","40","","","","$259.64","","","YOUR HOME TEAM INC","Jim Marks","261503481","","Tampa","Tampa"
"1","T3479653","ACT","8610 N 12TH ST","TAMPA","33604","SULPHUR SPGS ADD","","884","$229,000","3","1","0","1946","None","Single Family Residence","$1,278.34","57","57","","","","$259.05","","","OFFERPAD BROKERAGE FL, LLC","Sonja Haltiwanger","261215383","","Tampa","Tampa"
"1","T3470076","ACT","3701 E YUKON ST","TAMPA","33604","TEMPLE CREST UNIT 1","","624","$229,000","2","1","0","1959","None","Single Family Residence","$1,221.22","104","104","","","","$366.99","","","DALTON WADE INC","Darren Kempf","261558302","","Tampa","Pinellas Suncoast"
"1","T3476703","ACT","8428 N HIGHLAND AVE","TAMPA","33604","MANOR HILLS SUB","","1,041","$229,900","3","2","0","1946","None","Single Family Residence","$1,956.01","74","74","","","","$220.85","","","YOU FIRST REALTY AND ASSOC LLC","Hachem Fariad","261551460","","Tampa","Tampa"
