"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3478405","ACT","16103 CHANCERY PL","TAMPA","33613","BYRD LAKE WOODS","","2,575","$655,000","4","3","0","1986","None","Single Family Residence","$7,632.00","69","69","","","","$254.37","","","HOMERIVER GROUP","Rebecca Vazquez","261538697","","Tampa","Tampa"
"1","T3474994","ACT","8213 CANARY CANYON WAY","TAMPA","33647","WEST MEADOWS PARCELS 12A 12B-1","","2,421","$655,000","4","3","0","2003","None","Single Family Residence","$3,917.06","84","84","","","","$270.55","","","PARADISE REALTY AND INVESTMENT GROUP INC","Daniela Baeza","261558117","","Tampa","Tampa"
"1","T3480491","ACT","2305 W KENTUCKY AVE","TAMPA","33607","RIO VISTA","","1,714","$659,000","4","2","0","2023","None","Single Family Residence","$773.51","60","60","","","","$384.48","","","EXP REALTY LLC","Maria Leon","261554733","","Tampa","Sarasota - Manatee"
"1","T3479621","ACT","2307 W KENTUCKY AVE","TAMPA","33607","RIO VISTA","","1,714","$659,000","4","2","0","2023","None","Single Family Residence","$773.51","61","61","","","","$384.48","","","EXP REALTY LLC","Maria Leon","261554733","","Tampa","Sarasota - Manatee"
"1","T3453248","ACT","4809 JACKSON CLUB LOOP","TAMPA","33624","CARROLLWOOD LANDING","","2,057","$659,500","4","2","0","2022","None","Single Family Residence","$1,228.67","177","177","","","","$320.61","","","RE/MAX ALLIANCE GROUP","Beena Kokeram","261552898","","Tampa","Tampa"
"1","T3467977","ACT","10605 MISTFLOWER LN","TAMPA","33647","BASSET CREEK ESTATES PH 2B","","3,572","$664,900","5","3","1","2014","Community","Single Family Residence","$8,778.00","115","115","","","","$186.14","","","SIGNATURE REALTY ASSOCIATES","Christina Barone","261530952","","Tampa","Tampa"
"1","T3475143","ACT","5637 GLENCREST BLVD","TAMPA","33625","BELLE GLEN","","2,744","$665,000","4","3","0","1998","None","Single Family Residence","$3,942.06","66","66","","","","$242.35","","","KELLER WILLIAMS TAMPA PROP.","Julia Wright","261552520","","Tampa","Tampa"
"1","U8213430","ACT","10006 VISTA POINTE DR","TAMPA","33635","COUNTRYWAY PRCL B TRCT 7 PH 2","","2,328","$665,000","3","2","0","1994","None","Single Family Residence","$6,852.76","97","97","","","","$285.65","","","FLORIDA HOME REALTY GROUP, LLC","Svetlana Mironovaite","260047900","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3456095","ACT","1911 E OSBORNE AVE","TAMPA","33610","UNPLATTED","","2,076","$665,000","4","2","0","1925","None","Single Family Residence","$729.41","172","172","","","","$320.33","","","LAURA FERGUSON REALTY","Laura Ferguson","261528819","","Tampa","Tampa"
"1","U8215932","ACT","7414 S ELLIOTT ST","TAMPA","33616","PORT TAMPA CITY MAP","","2,497","$669,000","4","3","0","2021","None","Single Family Residence","$172.00","74","74","","","","$267.92","","","EXP REALTY LLC","Jeffrey Borham, PA","261544158","","Pinellas Suncoast","Pinellas Suncoast"
