"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3463484","ACT","3121 CHEROKEE AVE","TAMPA","33611","MAC DILL HEIGHTS","","3,037","$999,000","4","3","1","2023","None","Single Family Residence","$3,164.00","136","136","","","","$328.94","","","EXIT BAYSHORE REALTY","Robert Wilson","260016447","","Tampa","Tampa"
"1","T3439104","ACT","4422 W TRILBY AVE","TAMPA","33616","GANDY GARDENS 2","","2,458","$999,000","4","3","0","2023","Private","Single Family Residence","$1,591.50","245","245","","","","$406.43","","","MEKAH","Mia Goforth","261565258","","Tampa","Tampa"
"1","T3489395","ACT","8823 STILLWATERS LANDING DR","RIVERVIEW","33578","STILL WATERS LANDING","","3,008","$999,900","3","3","0","1999","Private","Single Family Residence","$4,276.02","16","16","","","","$332.41","","","SIGNATURE REALTY ASSOCIATES","Nancy Dawsey","261503308","","Tampa","Tampa"
"1","T3401162","ACT","3504 W ROGERS AVE","TAMPA","33611","GANDY BOULEVARD PARK ADDITION","","3,306","$999,990","4","4","0","2023","None","Single Family Residence","$696.00","453","453","","","","$302.48","","","DOMAIN REALTY LLC","Kevin Robles","261536852","","Tampa","Tampa"
"1","T3382397","ACT","824 W COLUMBUS DR","TAMPA","33602","4S0 | RIDGEWOOD PARK","","2,963","$999,990","4","3","0","2023","None","Single Family Residence","$2,832.00","545","545","","","","$337.49","","","DOMAIN REALTY LLC","Kevin Robles","261536852","","Tampa","Tampa"
"1","T3484181","ACT","2918 N WOODROW AVE","TAMPA","33602","BLACKS W C SECOND ADD CO","","2,900","$999,999","4","3","0","2024","None","Single Family Residence","$1,909.68","43","43","","","","$344.83","","","KELLER WILLIAMS SOUTH TAMPA","Aldo Delacruz","768506662","","Tampa","Tampa"
"1","T3374520","ACT","2223 SHADEHILL CT","TAMPA","33612","FOREST HILLS ESTATES FIRST ADD","","5,951","$999,999","5","4","1","1989","Private","Single Family Residence","$9,371.92","504","504","","","","$168.04","","","KELLER WILLIAMS TAMPA PROP.","Jorge Morejon","261509534","","Tampa","Tampa"
"1","T3483794","ACT","408 1/2 E OAK AVE Unit#5","TAMPA","33602","ALLOY AT TAMPA HEIGHTS","","2,586","$1,038,322","3","2","1","2023","None","Single Family Residence","$0.00","46","46","","","","$401.52","","","ONYX AND EAST REALTY LLC","Viana Ayuso Pena","261592187","","Tampa","Tampa"
"1","T3466940","ACT","705 W OHIO AVE","TAMPA","33603","RIVERSIDE NORTH","","3,135","$1,049,000","4","4","0","2023","None","Single Family Residence","$3,559.39","122","122","","","","$334.61","","","SMITH & ASSOCIATES REAL ESTATE","Celeste Hunter","261557247","","Tampa","Tampa"
"1","T3424869","ACT","715 1/2 W PLYMOUTH ST","TAMPA","33603","FAIRHOLME","","3,306","$1,049,990","4","4","0","2022","None","Single Family Residence","$2,544.55","328","328","","","","$317.60","","","DOMAIN REALTY LLC","Kevin Robles","261536852","","Tampa","Tampa"
"1","T3489399","ACT","5810 S 3RD ST","TAMPA","33611","SOUTHSIDE","","3,090","$1,049,999","4","3","1","2007","Private","Single Family Residence","$6,210.63","14","14","","","","$339.81","","","COLDWELL BANKER REALTY","Josh Garfield","261531673","","Tampa","Pinellas Suncoast"
"1","T3482213","ACT","19432 WHISPERING BROOK DR","TAMPA","33647","K-BAR RANCH PRCL O","","5,644","$1,050,000","7","6","1","2015","Community","Single Family Residence","$11,391.99","53","53","","","","$186.04","","","CENTURY 21 CIRCLE","Moni Pandey","261568278","","Tampa","Tampa"
"1","T3486270","ACT","3319 W VILLA ROSA ST","TAMPA","33611","OAKELLAR","","2,576","$1,075,000","4","2","1","2000","Private","Single Family Residence","$9,194.57","33","33","","","","$417.31","","","PALERMO REAL ESTATE PROF.INC.","Shannon Burnett","261550198","","Tampa","Tampa"
"1","T3480604","ACT","3612 E ROYAL PALM CIR","TAMPA","33629","BEL MAR UNIT 3","","2,436","$1,075,000","4","2","1","2014","None","Single Family Residence","$8,759.00","60","60","","","","$441.30","","","PALERMO REAL ESTATE PROF.INC.","Diana Pomarico PA","261555621","","Tampa","Tampa"
"1","T3485528","ACT","5302 WITHAM CT","TAMPA","33647","TAMPA PALMS","","3,351","$1,095,000","4","3","1","2016","Private, Community","Single Family Residence","$15,234.04","38","38","","","","$326.77","","","BHHS FLORIDA PROPERTIES GROUP","Tammy Waugh, PA","261506498","","Tampa","Tampa"
"1","T3483255","ACT","1105 W DE LEON ST","TAMPA","33606","BAYWOOD","","1,629","$1,095,000","4","2","0","1919","None","Single Family Residence","$10,669.00","46","46","","","","$672.19","","","SMITH & ASSOCIATES REAL ESTATE","Bianca Lopez","261552901","","Tampa","Tampa"
"1","T3479998","ACT","2301 S SAN JOSE CIR","TAMPA","33629","AZALEA TERRACE","","2,205","$1,095,000","3","2","0","1977","None","Single Family Residence","$4,128.00","62","62","","","","$496.60","","","THE TONI EVERETT COMPANY","Henderson Everett","261505005","","Tampa","Tampa"
"1","T3423395","ACT","907 W BRADDOCK ST","TAMPA","33603","SUBURB ROYAL LOT 21 BLOCK 6 AND S 1/2 OF VACATED A","","3,147","$1,099,000","4","3","1","2023","None","Single Family Residence","$0.00","321","321","","","","$349.22","","","SMITH & ASSOCIATES REAL ESTATE","Aleks Pavlova","261555381","","Tampa","Pinellas Suncoast"
"1","T3488752","ACT","7210 N HABANA AVENUE","TAMPA","33614","GROVE PARK ESTATES UNIT 5","","3,109","$1,099,990","5","3","0","1971","None","Single Family Residence","$3,583.40","16","16","","","","$353.81","","","WEICHERT REALTORS EXCLUSIVE PROPERTIES","Hector Contreras","261547446","","Tampa","Tampa"
"1","T3409265","ACT","3020 W CASS ST","TAMPA","33609","RUBIA","","3,004","$1,099,990","4","2","1","2022","None","Single Family Residence","$755.00","424","424","","","","$366.18","","","DOMAIN REALTY LLC","Kevin Robles","261536852","","Tampa","Tampa"
