"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3442357","CAN","4707 E 98TH AVE","TAMPA","33617","TERRACE PARK SUB","","2,121","$300,000","4","3","0","1977","None","Single Family Residence","$3,837.00","0","0","","","","$141.44","","","CHARLES RUTENBERG REALTY INC","Michael Simmons","261566179","","Tampa","Pinellas Suncoast"
"1","T3456585","CAN","8705 N HIGHLAND AVE","TAMPA","33604","MANOR HILLS SUB","","938","$305,000","2","1","0","1967","None","Single Family Residence","$3,299.93","74","65","","","","$325.16","","","FLORIDA EXECUTIVE REALTY","Travis Hall","261548828","","Tampa","Tampa"
"1","C7476491","CAN","8328 GARRISON CIR","TAMPA","33615","TOWNN COUNTRY PARK UNIT 60","","1,339","$305,000","3","1","0","1972","None","Single Family Residence","$1,300.62","38","38","","","","$227.78","","","LISA DAVIS POWERHOUSE REAL","Lisa Davis","276503913","","Port Charlotte","Port Charlotte"
"1","T3397136","CAN","11807 BRENFORD CREST DR","RIVERVIEW","33579","SUMMERFIELD VILLG 1 TRCT 38","","1,360","$305,000","4","2","0","2003","Community","Single Family Residence","$1,384.00","36","36","","","","$224.26","","","KELLER WILLIAMS SUBURBAN TAMPA","Tony Baroni","261536272","","Tampa","Tampa"
"1","T3446342","CAN","7805 N RIVERDALE AVE","TAMPA","33604","KRAUSES SUB","","1,008","$307,800","2","2","0","1948","None","Single Family Residence","$1,753.70","66","66","","","","$305.36","","","PEOPLE'S CHOICE REALTY SVC LLC","Celia Puca","261538104","","Tampa","Tampa"
"1","T3458116","CAN","2005 N ARMENIA AVE","TAMPA","33607","MAC FARLANES REV MAP OF ADD","","874","$309,900","3","1","0","1903","None","Single Family Residence","$860.57","83","83","","","","$354.58","","","LISTINGLY.COM","Amy Talkow","276511811","","Tampa","Tampa"
"1","T3456985","CAN","1401 E KNOLLWOOD ST","TAMPA","33604","JACKSON JAS J","","1,243","$309,900","3","1","0","1952","None","Single Family Residence","$4,077.15","6","6","","","","$249.32","","","JANUS REALTY GROUP","Brandon Schmidt","261544729","","Tampa","Tampa"
"1","T3462854","CAN","8207 CLERMONT ST","TAMPA","33637","RIVERDALE SUB PH 2","","1,496","$310,000","3","2","0","1986","None","Single Family Residence","$3,601.00","46","46","","","","$207.22","","","WEICHERT REALTORS-BRANDON REALTY","Nora Redding","261538797","","Tampa","Tampa"
"1","T3448615","CAN","1407 E NORTH ST","TAMPA","33604","MANOR HEIGHTS NORTH","","922","$310,000","2","1","0","1948","None","Single Family Residence","$2,795.73","37","37","","","","$336.23","","","PINEYWOODS REALTY LLC","Jennifer Burget","261550965","","Tampa","Tampa"
"1","T3400591","CAN","1505 E GIDDENS AVE","TAMPA","33610","SPERRY GROVE ESTATES REVISED PLAT","","1,172","$312,900","3","2","0","1999","None","Single Family Residence","$2,506.97","51","51","","","","$266.98","","","DE COSTA REALTY","Eboney De Costa","261551833","","Tampa","Tampa"
"1","T3466066","CAN","1608 E NEW ORLEANS AVE","TAMPA","33610","PEELER HEIGHTS","","1,254","$314,000","4","2","0","1932","None","Single Family Residence","$4,855.00","80","80","","","","$250.40","","","OUT FAST REALTY & INVESTMENTS","Bryce Wade","261561258","","Tampa","Tampa"
"1","T3446214","CAN","6502 S HIMES AVE","TAMPA","33611","CRESCENT PARK","","1,304","$314,990","3","1","0","1948","None","Single Family Residence","$707.46","184","184","","","","$241.56","","","SPIN REAL ESTATE LLC","Lee Kearney","260020685","","Tampa","Tampa"
"1","A4584247","CAN","1502 E KNOLLWOOD ST","TAMPA","33610","RIVERBEND MANOR","","1,351","$315,000","2","1","0","1933","None","Single Family Residence","$2,995.65","69","69","","","","$233.16","","","BHHS EWM REALTY","Amy Stanley","847002648","","Sarasota - Manatee","Sarasota - Manatee"
"1","T3453113","CAN","6602 N 31ST ST","TAMPA","33610","HILLS SUB","","2,169","$315,000","5","3","0","1957","None","Single Family Residence","$6,494.68","40","40","","","","$145.23","","","GOLD REAL ESTATE SOLUTIONS","Randys Oliva","261563616","","Tampa","Tampa"
"1","T3398812","CAN","8317 N 37TH ST","TAMPA","33604","TEMPLE CREST UNIT 2","","1,712","$315,000","3","2","0","1948","None","Single Family Residence","$1,268.55","17","17","","","","$184.00","","","MOMENTUM REAL ESTATE LLC","Jennifer Barriffe","261551285","","Tampa","Tampa"
"1","T3453069","CAN","8724 N CALDER PL","TAMPA","33604","ELIZABETH COURT","","1,041","$317,000","3","2","0","1953","None","Single Family Residence","$2,427.65","11","11","","","","$304.51","","","DREAM HOMES REALTY","Derlys Fernandez","261544652","","Tampa","Tampa"
