"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3449563","SLD","7010 CONIFER DR","TAMPA","33637","$225,000","$200,000","","","10","10","One","","","","Square Feet","1961","1,172","1,260"
"1","J961949","SLD","8301 OLEANDER LN","TAMPA","33637","$200,000","$200,000","","","0","0","One","","","","Square Feet","1972","1,358","1,358"
"1","U8203473","SLD","4814 S 86TH ST","TAMPA","33619","$214,900","$210,000","","","4","4","One","","","","Square Feet","1961","864","864"
"1","T3449552","SLD","7012 CONIFER DR","TAMPA","33637","$230,000","$210,000","","","34","34","One","","","","Square Feet","1961","1,096","1,467"
"1","T3453017","SLD","2806 N 17TH ST","TAMPA","33605","$269,995","$215,000","","","18","18","One","","","","Square Feet","1930","1,380","1,380"
"1","A4573328","SLD","3409 N 12TH ST","TAMPA","33605","$239,900","$215,000","","","3","3","One","","","","Square Feet","1925","1,464","1,464"
"1","T3449588","SLD","8710 N MANDARINE PL N","TAMPA","33617","$230,000","$215,000","","","4","4","One","","","","Square Feet","1989","975","1,040"
"1","O6116562","SLD","7305 N COARSEY DR","TAMPA","33604","$250,000","$220,000","","","11","11","One","","","","Square Feet","1955","978","1,386"
"1","J962060","SLD","3013 N 42ND ST","TAMPA","33605","$220,000","$220,000","","","0","0","One","","","","Square Feet","1960","1,748","1,800"
"1","T3451095","SLD","3103 E EMMA ST","TAMPA","33610","$220,000","$225,000","","","24","24","One","","","","Square Feet","1920","725","770"
"1","O6118578","SLD","3223 N 48TH ST","TAMPA","33605","$229,900","$228,000","","","59","59","One","","0","","Square Feet","1952","1,092","1,092"
"1","T3453089","SLD","3108 E DIANA ST","TAMPA","33610","$250,000","$229,000","","","13","13","One","","","","Square Feet","1955","1,428","1,428"
"1","T3449602","SLD","2120 W ELM ST","TAMPA","33604","$299,000","$230,000","","","4","4","One","","","","Square Feet","1956","1,372","1,528"
"1","U8203563","SLD","5203 N MENDENHALL DR","TAMPA","33603","$260,000","$235,000","","","16","16","One","Crawl Space","","","Square Feet","1995","1,456","2,036"
