"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","U8208610","SLD","1106 E SENECA AVE","TAMPA","33612","$209,900","$200,000","","","21","21","One","","","","Square Feet","1957","946","1,183"
"1","U8207457","SLD","7908 W HANNA AVE","TAMPA","33615","$200,000","$200,000","","","0","0","Two","","","","Square Feet","1965","2,015","2,333"
"1","U8207257","SLD","2614 E 20TH AVE","TAMPA","33605","$220,000","$200,000","","","25","25","One","","","","Square Feet","1923","788","788"
"1","T3458036","SLD","8713 N 13TH ST","TAMPA","33604","$200,000","$201,000","","","97","97","One","","","","Square Feet","1948","768","868"
"1","O6129669","SLD","8920 N OTIS AVE","TAMPA","33604","$220,000","$205,000","","","10","10","One","","","","Square Feet","1955","922","1,426"
"1","T3461618","SLD","323 E 132ND AVE","TAMPA","33612","$199,934","$205,000","","","5","5","One","","","","Square Feet","1951","744","744"
"1","T3458702","SLD","7418 LAKESHORE DR","TAMPA","33604","$228,000","$205,000","","","14","14","One","","","","Square Feet","1952","928","1,108"
"1","T3460281","SLD","1511 E DIANA ST","TAMPA","33610","$292,000","$210,000","","","25","25","One","","","","Square Feet","1952","1,278","1,278"
"1","T3457880","SLD","2519 WESTHIGH AVE","TAMPA","33614","$225,000","$210,000","","","3","3","One","","","","Square Feet","1948","1,080","1,256"
"1","T3458647","SLD","9803 N 10TH ST","TAMPA","33612","$215,000","$215,000","","","5","5","One","","","","Square Feet","1958","700","700"
"1","J964257","SLD","3103 N 16TH ST","TAMPA","33605","$222,000","$222,000","","","0","0","Two","","","","Square Feet","1930","1,508","1,746"
"1","T3462555","SLD","2110 CARROLL PL","TAMPA","33612","$289,700","$230,000","","","3","3","One","","","","Square Feet","1957","1,274","1,421"
"1","J964219","SLD","816 E WILDER AVE","TAMPA","33603","$230,000","$230,000","","","0","0","One","","","","Square Feet","1958","828","934"
"1","T3457717","SLD","8003 N BROOKS ST","TAMPA","33604","$310,000","$230,000","","","6","6","One","","","","Square Feet","1972","1,824","2,190"
"1","J964533","SLD","9724 CYPRESS SHADOW AVE","TAMPA","33647","$235,000","$235,000","","","0","0","Two","","2","","Square Feet","1987","2,033","2,033"
"1","T3461988","SLD","2227 E 18TH AVE","TAMPA","33605","$229,000","$235,000","","","3","3","One","","","","Square Feet","1900","1,124","1,208"
"1","J963646","SLD","8905 TIDEWATER TRL","TAMPA","33619","$235,000","$235,000","","","0","0","One","","","","Square Feet","1997","1,220","1,220"
"1","U8208211","SLD","3901 KIMBALL AVE","TAMPA","33614","$235,000","$240,000","","","0","0","One","","","","Square Feet","1962","2,304","2,788"
"1","J963993","SLD","8222 CLERMONT ST","TAMPA","33637","$240,000","$240,000","","","0","0","One","","1","","Square Feet","1986","1,164","1,774"
"1","U8207434","SLD","705 E CRENSHAW ST","TAMPA","33604","$239,000","$240,000","","","16","16","One","","","","Square Feet","1951","525","525"
"1","O6126235","SLD","104 E ADALEE ST","TAMPA","33603","$210,000","$240,000","","","7","7","One","","","","Square Feet","1920","1,106","1,288"
"1","T3460314","SLD","1506 S 78TH ST","TAMPA","33619","$245,000","$245,000","","","19","19","One","","","","Square Feet","1958","1,248","1,604"
"1","T3461326","SLD","3018 E SLIGH AVE","TAMPA","33610","$292,000","$253,000","","","42","42","One","","","","Square Feet","1956","1,709","1,709"
"1","T3457872","SLD","3101 N 16TH ST","TAMPA","33605","$300,000","$253,000","","","20","20","One","","","","Square Feet","1939","1,474","4,900"
"1","U8206654","SLD","2919 E LINEBAUGH AVE","TAMPA","33612","$255,000","$259,000","","","11","11","One","","","","Square Feet","1958","988","1,090"
"1","T3458867","SLD","3620 E NORTH ST","TAMPA","33610","$325,000","$262,000","","","21","21","One","","2","","Square Feet","1978","1,905","2,692"
"1","T3461198","SLD","1503 E POINSETTIA AVE","TAMPA","33612","$279,999","$265,000","","","16","16","One","","","","Square Feet","1983","1,566","1,566"
"1","S5087946","SLD","3621 POTTER ST","TAMPA","33605","$259,000","$265,000","","","6","6","One","","","","Square Feet","1930","966","1,104"
"1","T3461764","SLD","1310 E DIANA ST","TAMPA","33604","$279,000","$266,000","","","29","29","One","","","","Square Feet","1940","1,222","1,234"
"1","T3461945","SLD","3404 E GIDDENS AVE","TAMPA","33610","$279,900","$268,000","","","49","49","One","","","","Square Feet","1954","1,166","1,358"
