"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3435553","SLD","2005 WARRINGTON WAY","TAMPA","33619","$230,000","$205,000","","","12","12","One","","","","Square Feet","1959","1,725","1,725"
"1","U8195649","SLD","1630 E MULBERRY DR","TAMPA","33604","$275,000","$207,000","","","13","13","One","","2","18x36","Square Feet","1951","1,546","2,384"
"1","T3436803","SLD","11007 MARIAN LN","RIVERVIEW","33578","$249,000","$210,000","","","6","6","One","","1","","Square Feet","1984","1,044","1,044"
"1","T3434404","SLD","2622 E 27TH AVE","TAMPA","33605","$230,000","$220,000","","","0","73","One","","","","Square Feet","1954","1,016","1,100"
"1","T3434240","SLD","2018 E SEWARD ST","TAMPA","33604","$199,000","$225,563","","","5","5","One","","","","Square Feet","1972","920","1,206"
"1","U8193904","SLD","8604 TUPELO DR","TAMPA","33637","$245,000","$235,000","","","48","48","One","","","","Square Feet","1960","884","1,216"
"1","T3434521","SLD","3702 E ELLICOTT ST","TAMPA","33610","$239,900","$237,000","","","1","1","One","","","","Square Feet","1952","864","1,160"
"1","T3436581","SLD","3707 E 38TH AVE","TAMPA","33610","$239,900","$239,900","","","2","2","One","","","","Square Feet","1967","709","759"
"1","L4936118","SLD","3210 E IDA ST","TAMPA","33610","$250,000","$245,000","","","5","5","One","","","","Square Feet","1954","892","970"
"1","T3434763","SLD","7507 N ORLEANS AVE","TAMPA","33604","$249,000","$249,000","","","35","35","One","","","","Square Feet","1945","904","947"
"1","U8194041","SLD","1514 E 33RD AVE","TAMPA","33610","$249,900","$250,000","","","18","18","One","Crawl Space","","","Square Feet","1926","1,062","1,062"
"1","W7853203","SLD","209 W HIAWATHA ST","TAMPA","33604","$299,900","$250,000","","","20","20","One","","","","Square Feet","1926","1,392","1,392"
"1","T3435804","SLD","1104 E LOUISIANA AVE","TAMPA","33603","$255,000","$255,000","","","0","0","One","","","","Square Feet","1926","1,352","1,550"
"1","T3434120","SLD","208 W MOHAWK AVE","TAMPA","33604","$259,900","$259,900","","","3","3","One","","1","","Square Feet","1926","556","624"
"1","T3434022","SLD","304 W IDLEWILD AVE","TAMPA","33604","$265,000","$260,000","","","13","13","One","","","","Square Feet","1980","816","1,112"
"1","T3436240","SLD","11218 LAUREL BROOK CT","RIVERVIEW","33569","$295,000","$265,000","","","44","44","One","","2","00x00","Square Feet","2006","1,770","2,535"
"1","T3435967","SLD","2514 W SOUTH AVE","TAMPA","33614","$275,000","$265,000","","","2","2","One","","","","Square Feet","1963","830","1,126"
"1","T3434259","SLD","1716 E NOME ST","TAMPA","33604","$265,000","$265,000","","","11","88","One","","","","Square Feet","1958","1,025","1,025"
"1","U8195108","SLD","6505 W COMANCHE AVE","TAMPA","33634","$260,000","$267,000","","","1","1","One","","","","Square Feet","1966","1,832","1,888"
"1","T3433830","SLD","1811 E PALIFOX ST","TAMPA","33610","$267,500","$267,500","","","8","8","One","","","","Square Feet","1946","780","912"
"1","T3434103","SLD","2020 E POWHATAN AVE","TAMPA","33610","$260,000","$269,900","","","21","21","One","","","","Square Feet","1951","733","939"
"1","C7472615","SLD","3611 BISHOP EDDIE NEWKIRK WAY","TAMPA","33605","$298,000","$273,500","","","22","22","One","","","","Square Feet","2004","1,320","1,428"
"1","T3436979","SLD","1908 W SITKA ST","TAMPA","33604","$295,000","$275,000","","","5","5","One","","2","","Square Feet","1976","1,378","1,672"
"1","T3435730","SLD","804 E NEW ORLEANS AVE","TAMPA","33603","$279,900","$275,000","","","10","126","One","","","","Square Feet","1910","1,110","1,198"
"1","T3435712","SLD","706 W JUNEAU ST","TAMPA","33604","$269,900","$275,000","","","7","7","One","","","","Square Feet","1949","672","988"
"1","T3435704","SLD","8542 GOLD RIDGE CIR","TAMPA","33619","$275,000","$275,000","","","5","5","One","","","","Square Feet","1975","1,192","1,398"
"1","T3435263","SLD","1708 E IDELL ST","TAMPA","33604","$285,000","$275,000","","","66","66","One","","","","Square Feet","1975","1,620","1,764"
"1","T3434224","SLD","3620 E ELLICOTT ST","TAMPA","33610","$279,900","$275,000","","","14","14","One","","","","Square Feet","1956","1,046","1,102"
"1","T3434184","SLD","14013 BOYETTE RD","RIVERVIEW","33569","$275,000","$275,000","","","4","4","One","","","","Square Feet","1965","1,200","1,476"
"1","T3433704","SLD","3712 N 58TH ST","TAMPA","33619","$275,000","$275,000","","","3","3","One","","","","Square Feet","1996","1,250","1,481"
"1","T3435339","SLD","8303 N SEMMES ST","TAMPA","33604","$300,000","$276,500","","","1","1","One","","2","","Square Feet","2023","1,280","1,280"
"1","J959264","SLD","809 E NEW ORLEANS AVE","TAMPA","33603","$277,000","$277,000","","","0","116","One","","","","Square Feet","1948","908","1,113"
"1","T3436379","SLD","2513 N 55TH ST","TAMPA","33619","$270,000","$277,000","","","37","37","One","","","","Square Feet","1949","1,258","1,418"
"1","T3433801","SLD","1202 E 33RD AVE","TAMPA","33603","$285,000","$279,003","","","7","7","One","","","","Square Feet","2005","1,175","1,429"
"1","T3436301","SLD","3409 E SHADOWLAWN AVE","TAMPA","33610","$279,900","$279,900","","","17","17","One","","","","Square Feet","1926","1,200","1,200"
"1","T3434499","SLD","12411 STREAMBED DR","RIVERVIEW","33579","$335,000","$280,000","","","48","48","One","","2","","Square Feet","2019","1,458","1,923"
"1","T3433911","SLD","11334 COCOA BEACH DR","RIVERVIEW","33569","$249,900","$282,300","","","24","24","One","","2","","Square Feet","2005","1,530","2,010"
"1","O6097455","SLD","8734 OSAGE DR","TAMPA","33634","$279,900","$283,000","","","7","7","One","","2","12x12","Square Feet","1987","1,299","2,116"
"1","T3436536","SLD","3620 E CLIFTON ST","TAMPA","33610","$314,000","$290,000","","","69","69","One","","","","Square Feet","1964","1,050","1,050"
"1","U8195398","SLD","208 W LINEBAUGH AVE","TAMPA","33612","$285,000","$290,000","","","5","5","One","","","","Square Feet","1953","984","1,520"
"1","T3436051","SLD","7313 SEQUOIA DR","TAMPA","33637","$305,000","$290,000","","","74","74","One","","","","Square Feet","1972","1,404","1,838"
