"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3438815","SLD","4436 W WYOMING AVE","TAMPA","33616","$199,900","$200,000","","","0","0","One","","","","Square Feet","1956","768","1,032"
"1","T3437135","SLD","7812 RIDEOUT RD","TAMPA","33619","$260,000","$200,000","","","21","21","One","","","","Square Feet","1958","1,152","1,344"
"1","J960024","SLD","1207 E 17TH AVE","TAMPA","33605","$205,900","$205,900","","","0","0","Two","","1","","Square Feet","1913","1,844","2,068"
"1","A4567370","SLD","11112 MAHIN LN","RIVERVIEW","33578","$259,900","$215,000","","","82","82","One","","","","Square Feet","1983","1,404","1,515"
"1","O6101930","SLD","8701 N 13TH ST","TAMPA","33604","$219,000","$219,000","","","3","3","One","","","","Square Feet","1946","1,977","1,977"
"1","U8197165","SLD","8005 S 78TH ST","RIVERVIEW","33578","$250,000","$225,000","","","1","1","One","","2","24x30","Square Feet","1960","1,560","1,896"
"1","T3439240","SLD","9307 N 27TH ST","TAMPA","33612","$249,900","$225,000","","","33","33","One","","","","Square Feet","1959","1,111","1,388"
"1","C7474195","SLD","2214 W SKAGWAY AVE","TAMPA","33604","$249,500","$235,000","","","12","12","One","","","","Square Feet","1954","664","824"
"1","T3438395","SLD","2329 W BEACH ST","TAMPA","33607","$265,000","$235,000","","","27","27","One","","","","Square Feet","1908","1,088","1,196"
"1","J960026","SLD","1704 E CHELSEA ST","TAMPA","33610","$237,500","$237,500","","","0","0","One","","","","Square Feet","1983","1,572","1,572"
"1","U8197512","SLD","3102 W LEROY ST Unit#A","TAMPA","33607","$249,900","$240,000","","","18","18","One","","","","Square Feet","1951","1,176","1,224"
"1","T3438148","SLD","12705 FOREST HILLS DR","TAMPA","33612","$300,000","$240,000","","","23","23","One","","","","Square Feet","1948","1,258","1,838"
"1","W7854095","SLD","1401 E KNOLLWOOD ST","TAMPA","33604","$255,000","$250,000","","","0","0","One","","","","Square Feet","1952","1,243","1,243"
"1","T3438619","SLD","8523 N MULBERRY ST","TAMPA","33604","$250,000","$250,000","","","0","0","One","","","","Square Feet","1940","1,110","1,110"
"1","W7853850","SLD","1429 LONGWOOD LOOP","TAMPA","33619","$239,500","$251,000","","","4","4","One","","","","Square Feet","1959","1,080","1,633"
"1","T3439191","SLD","3422 E WILDER AVE","TAMPA","33610","$269,900","$252,000","","","2","2","One","","1","","Square Feet","2001","1,312","1,312"
"1","T3440592","SLD","7014 24TH AVE S","TAMPA","33619","$250,000","$255,000","","","3","3","One","","0","","Square Feet","1973","1,245","1,612"
"1","T3437427","SLD","5014 PARKHILL PL","TAMPA","33624","$249,900","$255,000","","","14","14","One","","","","Square Feet","1979","891","1,007"
"1","L4936575","SLD","3711 W WALLACE AVE","TAMPA","33611","$260,000","$260,000","","","5","5","One","","","","Square Feet","1958","950","950"
"1","U8197387","SLD","9303 N 12TH ST","TAMPA","33612","$275,000","$260,000","","","5","5","One","","","","Square Feet","1930","1,008","1,036"
"1","T3438260","SLD","1808 E FRIERSON AVE","TAMPA","33610","$300,000","$260,000","","","0","0","One","","","","Square Feet","1956","1,614","1,614"
"1","T3440384","SLD","8725 BUSCH OAKS ST","TAMPA","33617","$279,000","$265,000","","","38","38","One","","2","","Square Feet","1997","1,260","1,866"
"1","O6104948","SLD","5022 S 87TH ST","TAMPA","33619","$269,900","$268,000","","","118","130","One","","","","Square Feet","1960","816","1,148"
"1","T3438756","SLD","7906 CROTON AVE","TAMPA","33619","$258,000","$268,000","","","6","6","One","","","","Square Feet","1960","924","924"
"1","T3440903","SLD","3409 E JEAN ST","TAMPA","33610","$265,000","$275,000","","","5","5","One","","","","Square Feet","1960","925","1,354"
"1","T3438533","SLD","8510 N 9TH ST","TAMPA","33604","$269,900","$275,000","","","2","2","One","","","","Square Feet","1945","953","953"
