"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","L4939544","SLD","10932 N LANTANA AVE","TAMPA","33612","$265,000","$203,500","","","7","7","One","","","","Square Feet","1955","1,055","1,055"
"1","T3471573","SLD","8606 N SEMMES ST Unit#A","TAMPA","33604","$189,000","$205,000","","","6","6","Two","","","","Square Feet","1978","808","817"
"1","T3468303","SLD","2618 E EMMA ST","TAMPA","33610","$199,900","$207,500","","","12","12","One","","","","Square Feet","1983","850","1,078"
"1","U8211731","SLD","1310 LAKEWOOD DR","BRANDON","33510","$204,900","$208,000","","","4","4","One","","1","","Square Feet","1956","1,510","2,044"
"1","T3472103","SLD","14920 LAURIE LN","TAMPA","33613","$250,000","$210,000","","","2","2","One","","","","Square Feet","1959","1,200","1,200"
"1","U8212697","SLD","916 E NEW ORLEANS AVE","TAMPA","33603","$239,999","$210,000","","","22","22","One","","1","","Square Feet","1927","1,060","1,060"
"1","T3474228","SLD","3012 N 73RD ST","TAMPA","33619","$215,000","$215,000","","","4","4","One","","","","Square Feet","1954","750","750"
"1","T3473542","SLD","1209 E 18TH AVE","TAMPA","33605","$219,900","$220,000","","","2","2","One","","","","Square Feet","1903","1,340","1,608"
"1","U8213570","SLD","3413 N 12TH ST","TAMPA","33605","$240,000","$220,000","","","26","26","One","","","","Square Feet","1946","1,095","1,095"
"1","J966118","SLD","3917 W WALNUT ST","TAMPA","33607","$220,000","$220,000","","","0","9","One","","1","","Square Feet","1951","940","1,064"
"1","O6141586","SLD","4503 E 24TH AVE","TAMPA","33605","$220,000","$225,000","","","3","3","One","","","","Square Feet","1961","844","844"
"1","W7857723","SLD","201 W BOUGAINVILLEA AVE","TAMPA","33612","$195,000","$225,000","","","23","23","One","","1","","Square Feet","1956","1,240","1,915"
"1","U8214083","SLD","7103 S SPARKMAN ST","TAMPA","33616","$199,000","$226,000","","","2","2","One","","","","Square Feet","1960","1,168","1,240"
"1","T3473421","SLD","320 E ALTHEA AVE","TAMPA","33612","$230,000","$230,000","","","0","17","One","","","","Square Feet","1955","1,378","1,724"
"1","T3473399","SLD","6213 12TH AVE S","TAMPA","33619","$249,500","$230,000","","","27","27","One","","","","Square Feet","1947","1,468","1,468"
"1","T3472459","SLD","1807 E HENRY AVE","TAMPA","33610","$230,000","$230,000","","","0","0","One","","1","","Square Feet","1987","1,437","1,437"
"1","T3472142","SLD","8707 N HIGHLAND AVE","TAMPA","33604","$285,000","$230,000","","","10","10","One","","","","Square Feet","1957","1,032","1,032"
