"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3456348","SLD","10901 N DIXON AVE","TAMPA","33612","$200,000","$200,000","","","0","0","One","","","","Square Feet","1959","1,412","1,892"
"1","T3456246","SLD","13611 N 19TH ST","TAMPA","33613","$219,000","$200,000","","","3","3","One","","","","Square Feet","1962","1,176","1,404"
"1","W7855854","SLD","2411 THRACE ST","TAMPA","33605","$220,000","$205,000","","","27","27","One","","","","Square Feet","1957","916","916"
"1","T3455770","SLD","2008 OCEANVIEW PL","TAMPA","33605","$210,000","$210,000","","","16","121","One","","","","Square Feet","1942","848","908"
"1","T3454489","SLD","802 E HAMILTON AVE","TAMPA","33604","$200,000","$210,000","","","1","1","One","","","","Square Feet","1919","960","1,128"
"1","T3453318","SLD","8520 N OLA AVE","TAMPA","33604","$199,000","$212,500","","","4","4","One","","","","Square Feet","1960","864","1,412"
"1","O6120721","SLD","2623 E 38TH AVE","TAMPA","33610","$215,000","$215,000","","","30","30","One","","","","Square Feet","1928","1,135","1,275"
"1","T3455734","SLD","1816 E JUNEAU ST","TAMPA","33604","$225,000","$223,500","","","11","11","One","","","","Square Feet","1954","721","1,216"
"1","T3457439","SLD","1210 E CAYUGA ST","TAMPA","33603","$228,000","$228,000","","","8","8","One","","1","","Square Feet","1935","749","910"
"1","U8204857","SLD","4309 E OSBORNE AVE","TAMPA","33610","$229,900","$229,000","","","26","26","One","","","","Square Feet","1960","768","936"
"1","T3454187","SLD","1936 W CHERRY ST","TAMPA","33607","$265,000","$230,000","","","3","3","One","","","","Square Feet","1913","902","1,066"
"1","T3456331","SLD","13202 LARAWAY CT","RIVERVIEW","33579","$218,400","$232,500","","","18","102","One","","1","","Square Feet","1989","1,236","1,554"
"1","T3454134","SLD","10505 GOLDWATER LN","RIVERVIEW","33578","$247,000","$233,000","","","0","0","One","","2","","Square Feet","2001","1,495","1,950"
"1","T3455884","SLD","911 E LAKE AVE","TAMPA","33605","$299,000","$239,500","","","77","77","One","","","","Square Feet","1925","1,427","1,427"
"1","T3455705","SLD","2619 DURHAM ST","TAMPA","33605","$254,000","$240,000","","","33","33","One","","","","Square Feet","1959","957","957"
"1","T3454510","SLD","1719 WAIKIKI WAY","TAMPA","33619","$232,000","$240,000","","","4","4","One","","","","Square Feet","1959","888","888"
"1","OM659830","SLD","918 E IDA ST","TAMPA","33603","$259,000","$241,372","","","58","58","One","","","","Square Feet","1923","1,110","1,206"
"1","T3455597","SLD","4008 E OSBORNE AVE","TAMPA","33610","$241,979","$247,500","","","3","3","One","","","","Square Feet","1966","960","960"
"1","T3453585","SLD","3201 E HANNA AVE","TAMPA","33610","$259,000","$250,000","","","16","16","One","","","","Square Feet","1960","2,472","2,552"
"1","T3454926","SLD","1527 W RIVER LN","TAMPA","33603","$275,000","$253,000","","","4","4","One","","","","Square Feet","1954","1,216","1,600"
"1","T3453745","SLD","1320 WINDSOR WAY","TAMPA","33619","$250,000","$255,000","","","9","9","One","","","","Square Feet","1959","1,248","1,412"
"1","C7477101","SLD","6905 WILDWOOD OAK DR","TAMPA","33617","$234,000","$260,000","","","2","2","One","","1","","Square Feet","2006","1,200","1,480"
"1","T3453434","SLD","4211 E IDLEWILD AVE","TAMPA","33610","$280,000","$263,000","","","20","20","One","","","","Square Feet","1965","1,000","1,356"
"1","T3455816","SLD","9320 N ELMER ST","TAMPA","33612","$264,000","$264,000","","","8","8","One","","","","Square Feet","1965","840","1,162"
"1","T3453655","SLD","9606 SIX MILE CREEK RD","TAMPA","33610","$270,000","$270,000","","","3","3","One","","0","","Square Feet","1964","1,327","1,327"
"1","T3456354","SLD","5716 16TH AVE S","TAMPA","33619","$275,000","$275,000","","","2","2","One","","","","Square Feet","1955","798","822"
"1","U8204553","SLD","815 E NEW ORLEANS AVE","TAMPA","33603","$299,000","$275,000","","","12","12","Multi/Split","","","","Square Feet","1928","1,260","1,260"
"1","U8204383","SLD","4702 BARRETT CT","TAMPA","33617","$269,900","$275,000","","","24","24","Two","","2","","Square Feet","1986","1,329","1,918"
"1","T3456029","SLD","101 E LAMBRIGHT ST","TAMPA","33604","$300,000","$280,000","","","16","16","One","","","","Square Feet","1926","1,700","2,096"
"1","T3454963","SLD","1402 E PARIS ST","TAMPA","33604","$250,000","$280,000","","","3","3","One","","","","Square Feet","1928","1,284","1,630"
"1","T3453395","SLD","13107 DOBREE PL","RIVERVIEW","33579","$290,000","$285,000","","","21","153","One","","2","","Square Feet","1988","1,311","1,955"
"1","T3456553","SLD","1516 E WATERS AVE","TAMPA","33604","$295,000","$287,000","","","23","23","One","","","","Square Feet","1944","1,400","1,400"
"1","T3456375","SLD","8320 ENDIVE AVE","TAMPA","33619","$303,000","$290,000","","","14","14","One","","","","Square Feet","1960","1,016","1,034"
"1","T3455653","SLD","811 E CONOVER ST","TAMPA","33603","$360,000","$290,000","","","17","17","One","","","","Square Feet","1923","1,536","1,536"
"1","T3457351","SLD","5915 N 32ND ST","TAMPA","33610","$285,000","$295,000","","","5","5","One","","","","Square Feet","1958","1,120","1,120"
"1","T3455282","SLD","5007 ABERDEEN CT","TAMPA","33624","$300,000","$295,000","","","1","1","One","","","","Square Feet","1981","1,077","1,549"
"1","T3453400","SLD","1205 E SENECA AVE","TAMPA","33612","$290,000","$295,000","","","53","53","One","","","","Square Feet","1949","1,455","1,575"
"1","T3456813","SLD","3710 SMITH TREE ST","TAMPA","33619","$299,000","$297,000","","","61","61","One","","","","Square Feet","2000","1,052","1,052"
"1","U8205378","SLD","3110 E ELM ST","TAMPA","33610","$299,000","$299,000","","","3","3","One","","","","Square Feet","1957","1,162","1,619"
"1","T3454379","SLD","10559 OPUS DR","RIVERVIEW","33579","$299,500","$299,500","","","3","3","One","","2","","Square Feet","2002","1,342","1,890"
"1","U8205681","SLD","11827 WHISPER CREEK DR","RIVERVIEW","33569","$299,900","$299,900","","","53","53","One","","2","","Square Feet","2002","1,284","1,887"
"1","L4938012","SLD","1709 W ATKINSON ST","TAMPA","33604","$299,000","$300,000","","","41","41","One","","","","Square Feet","1958","1,072","1,742"
"1","T3453992","SLD","8845 OAK CIR","TAMPA","33615","$315,000","$300,000","","","3","3","One","","1","","Square Feet","1973","1,322","1,852"
"1","T3453489","SLD","3014 N 49TH ST","TAMPA","33605","$299,900","$300,000","","","5","5","One","","1","","Square Feet","2006","1,344","1,728"
"1","T3456292","SLD","11933 LARK SONG LOOP","RIVERVIEW","33579","$319,000","$302,000","","","26","26","One","","1","","Square Feet","1999","1,123","1,123"
"1","T3454016","SLD","8504 N HIGHLAND AVE","TAMPA","33604","$294,990","$304,500","","","5","5","One","","","","Square Feet","1953","897","897"
"1","T3456888","SLD","6910 N LYNN AVE","TAMPA","33604","$309,000","$305,000","","","21","21","One","","","","Square Feet","1953","948","1,000"
"1","T3455000","SLD","7017 SANDHURST DR","TAMPA","33619","$305,000","$305,000","","","9","9","One","","","","Square Feet","1974","950","1,200"
"1","T3454945","SLD","8511 N EDISON AVE","TAMPA","33604","$315,000","$305,000","","","24","24","One","","","","Square Feet","1952","1,050","1,323"
"1","T3454278","SLD","4825 SERENA DR","TAMPA","33617","$319,000","$305,000","","","4","4","One","","1","","Square Feet","1980","1,214","1,631"
"1","T3453964","SLD","1203 E NORTH BAY ST","TAMPA","33603","$289,000","$306,000","","","1","1","One","","1","17x23","Square Feet","1947","947","1,067"
"1","T3457438","SLD","4230 E PALIFOX ST","TAMPA","33610","$324,900","$308,000","","","20","20","One","","","","Square Feet","2023","1,394","1,457"
"1","U8204830","SLD","1814 GREEN RIDGE RD","TAMPA","33619","$299,000","$309,000","","","4","4","One","","1","","Square Feet","1981","1,344","1,496"
"1","U8206222","SLD","2708 N 22ND ST","TAMPA","33605","$349,900","$310,000","","","120","120","One","","","","Square Feet","1933","1,492","1,492"
"1","T3456783","SLD","11582 HAMMOCKS GLADE DR","RIVERVIEW","33569","$309,900","$310,000","","","33","33","One","","2","20x22","Square Feet","2006","1,140","1,140"
"1","T3456768","SLD","3003 N 73RD ST","TAMPA","33619","$315,000","$310,000","","","2","2","One","","1","","Square Feet","2023","1,046","1,337"
"1","T3455849","SLD","13806 CHERRY BROOK LN","TAMPA","33618","$375,000","$310,000","","","30","30","One","","2","30x30","Square Feet","1973","1,705","2,329"
"1","T3454920","SLD","5108 SPRINGWATER CT","TAMPA","33624","$320,000","$310,000","","","46","46","One","","","","Square Feet","1980","1,107","1,143"
"1","T3454850","SLD","501 CLARA DR","BRANDON","33510","$299,000","$310,000","","","3","3","One","","1","16x28","Square Feet","1962","1,570","2,352"
"1","T3456767","SLD","3001 N 73RD ST","TAMPA","33619","$319,900","$312,000","","","5","5","One","","1","","Square Feet","2023","1,046","1,337"
"1","T3456829","SLD","3005 N 38TH ST","TAMPA","33605","$310,000","$313,900","","","11","11","One","","2","20X14","Square Feet","1969","1,409","2,269"
"1","T3454221","SLD","11502 N BOULEVARD ST N","TAMPA","33612","$359,000","$315,000","","","8","8","One","","","","Square Feet","1956","1,250","1,426"
"1","T3453828","SLD","1920 E CRENSHAW ST","TAMPA","33610","$325,000","$315,000","","","10","10","One","","","","Square Feet","1957","1,174","1,765"
"1","W7856247","SLD","10502 PARKCREST DR","TAMPA","33624","$315,000","$316,000","","","13","13","One","","","","Square Feet","1979","1,259","1,323"
"1","U8204179","SLD","507 W HILDA ST","TAMPA","33603","$318,500","$318,500","","","16","16","One","","","","Square Feet","1952","772","822"
"1","A4575749","SLD","11208 N ANNETTE AVE","TAMPA","33612","$330,000","$320,000","","","32","32","One","","","","Square Feet","1955","1,713","1,788"
