"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3444312","SLD","6916 JAMESTOWN MANOR DR","RIVERVIEW","33578","$440,000","$441,000","","","7","7","One","","2","","Square Feet","1998","1,822","2,358"
"1","T3443324","SLD","12905 SATIN LILY DR","RIVERVIEW","33579","$450,000","$442,000","","","8","8","One","","2","","Square Feet","2020","2,017","2,017"
"1","T3442289","SLD","11805 FROST ASTER DR","RIVERVIEW","33579","$469,900","$442,000","","","70","70","One","","2","","Square Feet","2015","2,036","2,798"
"1","T3444676","SLD","8430 CANTERBURY LAKE BLVD","TAMPA","33619","$449,900","$443,900","","","53","224","Two","","2","","Square Feet","2005","2,481","3,200"
"1","T3443285","SLD","7914 N PACKWOOD AVE","TAMPA","33604","$450,000","$445,000","","","12","12","Two","","2","","Square Feet","1988","2,068","2,992"
"1","T3443020","SLD","5038 CYPRESS TRACE DR","TAMPA","33624","$449,000","$445,000","","","0","0","One","","2","","Square Feet","1985","1,574","1,574"
"1","T3442556","SLD","1803 LAKEVIEW DR","BRANDON","33511","$419,000","$445,000","","","2","2","One","","2","","Square Feet","1974","1,918","3,015"
"1","T3442270","SLD","3901 APPLEGATE CIR","BRANDON","33511","$450,000","$445,000","","","7","7","One","","2","","Square Feet","1980","1,965","2,782"
"1","T3442238","SLD","2801 W OHIO AVE","TAMPA","33607","$430,000","$445,000","","","4","4","One","","","","Square Feet","1965","1,128","1,618"
"1","T3441875","SLD","5622 TUGHILL DR","TAMPA","33624","$460,000","$445,000","","","10","10","One","","2","","Square Feet","1998","1,734","2,438"
"1","U8198119","SLD","7210 TIMBER CT","TAMPA","33625","$425,000","$446,000","","","4","4","One","","2","","Square Feet","1981","1,756","2,673"
"1","T3441560","SLD","624 TUSCANNY ST","BRANDON","33511","$449,900","$447,600","","","105","177","One","","2","","Square Feet","1998","2,222","2,222"
"1","U8200107","SLD","5908 BITTERWOOD CT","TAMPA","33625","$459,500","$449,000","","","10","10","One","","","","Square Feet","1985","1,578","2,128"
"1","T3444963","SLD","20115 NATURES HIKE WAY","TAMPA","33647","$449,000","$449,000","","","3","3","One","","3","20x32","Square Feet","2008","2,408","3,278"
"1","T3442998","SLD","6602 N BRANCH AVE","TAMPA","33604","$425,000","$449,900","","","4","4","One","","","","Square Feet","1923","1,092","1,236"
"1","T3444730","SLD","809 MONACO DR","TAMPA","33613","$469,900","$450,000","","","72","72","One","","1","","Square Feet","1963","1,962","2,054"
"1","T3443878","SLD","13311 DORADO SHORES AVE","RIVERVIEW","33579","$460,000","$450,000","","","18","182","Two","","2","19X19","Square Feet","2019","2,377","2,988"
"1","T3442603","SLD","804 E HANNA AVE","TAMPA","33604","$450,000","$450,000","","","5","5","One","","","","Square Feet","2019","1,400","1,624"
"1","T3442365","SLD","2916 W HEITER ST","TAMPA","33607","$454,900","$450,000","","","36","36","One","","2","","Square Feet","2008","1,648","2,432"
"1","T3443498","SLD","2534 W MAIN ST","TAMPA","33607","$424,900","$451,000","","","5","5","Two","","1","","Square Feet","1902","1,554","1,772"
"1","O6110034","SLD","4805 CYPRESS TREE DR","TAMPA","33624","$455,000","$455,000","","","5","5","One","","2","22x23","Square Feet","1979","1,494","2,126"
"1","T3443826","SLD","13310 MORAN DR","TAMPA","33618","$465,000","$455,000","","","3","3","One","","2","19x23","Square Feet","1976","1,921","2,448"
"1","T3444973","SLD","10909 AUTUMN OAK PL","TAMPA","33618","$469,500","$460,000","","","15","15","One","","2","","Square Feet","1980","1,572","2,229"
"1","T3444138","SLD","7326 SUNSHINE CIR","TAMPA","33634","$450,000","$460,000","","","8","8","One","","2","00X00","Square Feet","1974","1,533","2,344"
"1","T3443276","SLD","10734 PICTORIAL PARK DR","TAMPA","33647","$465,000","$460,000","","","9","9","Two","","2","18x21","Square Feet","2008","2,403","2,924"
"1","T3442382","SLD","701 REGENCY CT","TAMPA","33613","$440,000","$460,000","","","2","2","One","","0","00x00","Square Feet","1975","1,975","2,333"
"1","U8198043","SLD","1711 W BEDINGFIELD DR","TAMPA","33603","$469,000","$460,000","","","12","12","One","","","","Square Feet","1954","1,445","1,819"
"1","T3444850","SLD","1601 WESTERLY DR","BRANDON","33511","$449,900","$463,000","","","3","3","One","","2","","Square Feet","1988","1,933","2,772"
"1","U8200118","SLD","7227 HAMMET RD","TAMPA","33647","$497,500","$465,000","","","58","58","One","","2","","Square Feet","1996","2,406","3,459"
"1","T3442482","SLD","8209 N ORLEANS AVE","TAMPA","33604","$514,999","$465,000","","","13","13","One","","","","Square Feet","1958","1,588","1,588"
"1","T3444296","SLD","1302 ESTATEWOOD DR","BRANDON","33510","$467,000","$467,000","","","2","2","Two","","2","","Square Feet","1969","2,698","3,413"
"1","U8199594","SLD","11108 SAGE CANYON DRIVE","RIVERVIEW","33578","$479,950","$470,000","","","7","7","One","","2","25x19","Square Feet","2019","2,177","2,177"
"1","T3443985","SLD","10417 HAMPTON MEADOW WAY","RIVERVIEW","33578","$489,900","$470,000","","","58","58","One","","3","","Square Feet","2015","2,579","3,441"
"1","T3443052","SLD","6706 THACKSTON DR","RIVERVIEW","33578","$455,000","$470,000","","","4","4","One","","2","","Square Feet","2004","2,066","2,744"
"1","O6108665","SLD","11247 CREEK HAVEN DR","RIVERVIEW","33569","$489,900","$474,000","","","9","9","Two","","2","","Square Feet","2005","2,926","3,866"
"1","T3444280","SLD","9419 PEBBLE GLEN AVE","TAMPA","33647","$475,000","$475,000","","","1","1","One","","2","","Square Feet","1987","2,367","3,141"
"1","U8199589","SLD","4109 W MONTGOMERY TER","TAMPA","33616","$475,000","$475,000","","","45","45","One","","","","Square Feet","1958","1,400","1"
"1","T3442209","SLD","11108 N TEEGREEN RD","TAMPA","33612","$490,000","$475,000","","","96","96","One","","1","","Square Feet","1953","1,925","1,925"
"1","T3441904","SLD","3104 OLD SPRING PL","TAMPA","33618","$489,000","$475,000","","","3","3","One","","2","20X24","Square Feet","1976","1,522","2,525"
"1","J960235","SLD","1206 W LEMON ST","TAMPA","33606","$475,000","$475,000","","","0","0","One","","","","Square Feet","1956","925","1,149"
"1","T3442043","SLD","11115 ABACO ISLAND AVE","RIVERVIEW","33579","$479,900","$475,900","","","6","6","Two","","2","20x20","Square Feet","2017","2,487","3,224"
"1","J960231","SLD","12981 WILDFLOWER MEADOW DR","RIVERVIEW","33579","$478,000","$478,000","","","0","0","Two","","2","","Square Feet","2023","3,326","3,326"
"1","T3442912","SLD","11724 TETRAFIN DR","RIVERVIEW","33579","$479,000","$479,000","","","4","4","One","","3","","Square Feet","2021","2,220","3,112"
"1","U8199947","SLD","13501 SHADY SHORES DR","TAMPA","33613","$499,000","$480,000","","","139","473","One","","2","","Square Feet","1967","1,936","2,890"
"1","T3444273","SLD","9204 ESTATE COVE CIR","RIVERVIEW","33578","$496,500","$480,000","","","11","11","One","","2","","Square Feet","1999","2,321","2,996"
"1","U8199392","SLD","12504 BRICK COBBLESTONE DR","RIVERVIEW","33579","$489,900","$480,000","","","74","74","One","","3","28x19","Square Feet","2021","2,798","3,689"
"1","T3445082","SLD","7339 BROOKVIEW CIR","TAMPA","33634","$510,000","$484,000","","","58","58","One","","2","24x24","Square Feet","1973","2,720","3,010"
"1","T3441361","SLD","10519 WHISPERING HAMMOCK DR","RIVERVIEW","33578","$487,000","$484,500","","","6","6","Two","","2","22x22","Square Feet","2016","2,308","3,156"
"1","T3444940","SLD","11438 AMAPOLA BLOOM CT","RIVERVIEW","33579","$500,000","$485,000","","","39","39","Two","","2","","Square Feet","2018","3,400","3,900"
"1","T3443942","SLD","8618 CARA PARK WAY","TAMPA","33635","$450,000","$485,000","","","1","1","One","","2","","Square Feet","1999","1,578","2,188"
"1","T3443637","SLD","4109 N CLEARFIELD AVE","TAMPA","33603","$485,000","$485,000","","","0","0","One","","","","Square Feet","1981","2,082","2,082"
"1","T3444569","SLD","16537 FORESTLAKE DR","TAMPA","33624","$489,000","$490,000","","","60","60","One","","2","","Square Feet","1980","1,630","2,509"
"1","T3444308","SLD","3516 W PRICE AVE","TAMPA","33611","$489,999","$490,000","","","75","75","One","","","","Square Feet","1953","1,080","1,080"
"1","T3444307","SLD","2701 GREENMOOR PL","TAMPA","33618","$470,000","$490,000","","","2","2","One","","2","","Square Feet","1970","1,694","2,518"
"1","U8198661","SLD","11129 CREEK HAVEN DR","RIVERVIEW","33569","$499,900","$492,000","","","26","26","Two","","2","","Square Feet","2006","2,950","3,366"
"1","T3443107","SLD","7324 YARDLEY WAY","TAMPA","33647","$493,000","$493,000","","","5","5","One","","2","","Square Feet","1994","2,039","2,847"
"1","T3443473","SLD","12929 PRESTWICK DR","RIVERVIEW","33579","$499,999","$495,000","","","12","12","Two","","3","","Square Feet","1991","3,152","3,960"
"1","O6107204","SLD","4612 WHISPERING WIND AVE","TAMPA","33614","$494,900","$495,000","","","3","3","One","","2","","Square Feet","2001","2,022","2,639"
"1","T3443301","SLD","9021 PINEBREEZE DR","RIVERVIEW","33578","$480,000","$496,875","","","6","6","One","","2","","Square Feet","2003","2,169","2,169"
"1","T3442368","SLD","12771 TANNENCREST DR","RIVERVIEW","33579","$505,690","$500,890","","","46","46","Two","","2","20x20","Square Feet","2023","2,888","3,387"
"1","T3444816","SLD","20017 CALLISTO HILL PL","TAMPA","33647","$507,000","$502,000","","","52","52","One","","2","","Square Feet","2018","1,700","2,256"
"1","T3443946","SLD","13222 WELLINGTON HILLS DR","RIVERVIEW","33579","$509,900","$505,000","","","98","98","Two","","2","","Square Feet","2014","4,156","4,840"
