"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3447449","SLD","2010 E CARACAS ST","TAMPA","33610","$209,900","$203,000","","","7","7","One","","","","Square Feet","1952","1,188","1,188"
"1","T3448207","SLD","9410 N 10TH ST","TAMPA","33612","$275,000","$205,100","","","27","27","One","","2","","Square Feet","1928","2,077","2,982"
"1","T3446216","SLD","1605 E SITKA ST","TAMPA","33604","$210,000","$210,000","","","3","3","One","","","","Square Feet","1954","780","780"
"1","U8200955","SLD","11115 N 19TH ST","TAMPA","33612","$239,900","$225,000","","","17","17","One","","","","Square Feet","1961","1,370","1,882"
"1","O6110126","SLD","1507 E 99TH AVE","TAMPA","33612","$219,000","$225,000","","","21","21","One","","","","Square Feet","1941","760","808"
"1","T3448153","SLD","8403 PINEWOOD ST","TAMPA","33615","$249,900","$225,750","","","44","44","One","","","","Square Feet","1961","976","1,423"
"1","U8200433","SLD","2519 N 54TH ST","TAMPA","33619","$230,000","$230,000","","","1","1","One","","1","12x20","Square Feet","2003","1,245","2,030"
"1","U8201271","SLD","4434 PERCH ST","TAMPA","33617","$248,500","$233,000","","","4","4","One","","","","Square Feet","1958","1,474","1,576"
"1","J961280","SLD","6428 ORAN ST","TAMPA","33610","$235,000","$235,000","","","0","0","One","","","","Square Feet","2007","1,328","1,328"
"1","T3446740","SLD","4902 EL CAMINO BLANCO BLVD","TAMPA","33619","$240,000","$240,000","","","1","1","One","","1","14x22","Square Feet","1953","1,135","1,599"
"1","T3446543","SLD","112 W WILDWOOD ST","TAMPA","33613","$235,000","$247,000","","","2","2","One","","1","12x20","Square Feet","1955","1,156","1,421"
"1","T3448832","SLD","11120 NEWBRIDGE DR","RIVERVIEW","33579","$274,900","$250,000","","","46","46","One","","2","","Square Feet","2004","1,484","1,521"
"1","J961773","SLD","605 HILLPINE WAY","BRANDON","33510","$280,000","$250,000","","","8","8","One","","2","","Square Feet","1978","1,690","2,221"
"1","T3445425","SLD","7420 E CHELSEA ST","TAMPA","33610","$289,000","$250,000","","","48","48","One","","","","Square Feet","1967","1,632","1,896"
"1","O6113029","SLD","1301 SHADY LANE DR","BRANDON","33510","$259,999","$255,000","","","2","3","One","","1","","Square Feet","1959","1,401","1,401"
"1","T3447406","SLD","2910 MISSOURI AVE","TAMPA","33619","$249,900","$255,000","","","2","2","One","","","","Square Feet","1955","899","899"
"1","T3445802","SLD","1305 E 32ND AVE","TAMPA","33603","$249,900","$255,000","","","3","3","One","","","","Square Feet","1927","864","992"
"1","T3445800","SLD","3414 E DR MARTIN LUTHER KING JR BLVD","TAMPA","33610","$259,000","$255,000","","","52","52","One","","","","Square Feet","1959","1,153","1,413"
"1","U8201816","SLD","2013 E HENRY AVE","TAMPA","33610","$260,000","$260,000","","","2","2","One","","","","Square Feet","1947","1,150","1,320"
"1","T3446024","SLD","203 E JERSEY AVE","BRANDON","33510","$250,000","$260,000","","","5","5","One","Exterior Entry, Full, Interior Entry","","","Square Feet","1963","1,652","2,268"
"1","T3447400","SLD","314 E KNOLLWOOD ST","TAMPA","33604","$264,000","$262,000","","","55","55","One","","","","Square Feet","1940","688","688"
"1","U8200480","SLD","701 REGENT CIR S","BRANDON","33511","$255,000","$265,000","","","4","4","One","","2","15x20","Square Feet","1976","1,163","1,163"
"1","T3448302","SLD","2403 E 19TH AVE","TAMPA","33605","$280,000","$270,000","","","90","90","One","","","","Square Feet","1924","765","765"
"1","T3447410","SLD","13330 LARAWAY DR","RIVERVIEW","33579","$270,000","$270,000","","","-4","-4","One","","","","Square Feet","1986","1,025","1,395"
"1","U8200600","SLD","4903 E OKARA RD","TAMPA","33617","$284,900","$270,000","","","11","11","One","","1","","Square Feet","1975","1,203","1,215"
"1","T3446231","SLD","5207 S 80TH ST","TAMPA","33619","$269,900","$273,000","","","60","60","One","","","","Square Feet","1960","1,145","1,229"
"1","T3447065","SLD","3906 E POWHATAN AVE","TAMPA","33610","$269,000","$277,000","","","7","7","One","","","","Square Feet","1971","1,452","1,452"
"1","U8201657","SLD","5110 N 19TH ST","TAMPA","33610","$279,900","$279,000","","","7","7","One","","","","Square Feet","1953","980","1,177"
"1","T3445488","SLD","1516 E FRIERSON AVE","TAMPA","33610","$279,990","$279,900","","","11","11","One","","","","Square Feet","1947","820","972"
"1","P4925834","SLD","814 W COLUMBUS DR","TAMPA","33602","$400,000","$280,000","","","22","22","One","","","","Square Feet","1928","1,440","1,472"
"1","T3445394","SLD","12201 N 9TH ST","TAMPA","33612","$280,000","$280,000","","","6","6","One","","","","Square Feet","1979","1,008","5,400"
"1","T3447158","SLD","7317 MONTEREY BLVD","TAMPA","33625","$299,000","$285,000","","","1","1","One","","1","12x20","Square Feet","1983","1,220","1,680"
"1","T3447422","SLD","8313 N MARKS ST","TAMPA","33604","$299,900","$285,500","","","4","4","One","","","","Square Feet","1926","1,008","1,008"
"1","T3447117","SLD","2408 E NORTH BAY ST","TAMPA","33610","$300,000","$287,000","","","15","15","One","","","","Square Feet","1971","1,038","1,113"
"1","T3446448","SLD","1512 E ANNONA AVE","TAMPA","33612","$289,000","$289,000","","","2","308","One","","","","Square Feet","1978","1,002","1,247"
"1","T3446622","SLD","8504 TIDEWATER TRL","TAMPA","33619","$289,999","$290,000","","","33","33","One","","","","Square Feet","1974","1,273","1,500"
"1","T3446021","SLD","8201 DEVANE DR","TAMPA","33619","$299,900","$290,000","","","70","70","One","","1","","Square Feet","1984","999","1,400"
"1","U8200453","SLD","2909 CORD ST","TAMPA","33605","$289,999","$290,000","","","103","103","One","","","","Square Feet","1980","1,305","1,535"
"1","O6111157","SLD","2423 E 19TH AVE","TAMPA","33605","$299,900","$295,000","","","4","4","One","","","","Square Feet","1918","858","1,066"
"1","T3447438","SLD","16012 GRASS LAKE DR","TAMPA","33618","$295,500","$295,500","","","1","1","One","","1","","Square Feet","1983","987","987"
"1","T3448554","SLD","7704 PATRICIAN PL","TAMPA","33619","$295,000","$296,000","","","4","4","One","","","","Square Feet","1960","1,281","1,718"
"1","T3446071","SLD","10114 N JASMINE AVE","TAMPA","33612","$305,000","$298,000","","","4","4","One","","","","Square Feet","2003","1,200","1,212"
"1","S5085662","SLD","4418 W LEILA AVE","TAMPA","33616","$249,000","$300,000","","","0","0","One","","","","Square Feet","1955","1,482","1,810"
"1","T3448527","SLD","5601 ZEIMIS DR","TAMPA","33610","$300,000","$300,000","","","1","1","One","","","","Square Feet","1963","1,684","1,684"
