"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","W7857477","SLD","2925 W DEWEY ST","TAMPA","33607","$225,000","$200,000","","","6","6","One","","","","Square Feet","1950","980","1,188"
"1","T3468098","SLD","618 BREEZEWAY CT","BRANDON","33511","$159,900","$201,500","","","9","9","One","","2","21x17","Square Feet","1985","1,220","1,818"
"1","T3466104","SLD","8517 N TEMPLE AVE","TAMPA","33617","$239,000","$210,000","","","48","48","One","","","","Square Feet","1960","1,166","1,518"
"1","T3463099","SLD","4513 W HUMPHREY ST","TAMPA","33614","$219,500","$214,900","","","18","18","One","","","","Square Feet","1983","754","754"
"1","U8211440","SLD","2323 E 111TH AVE","TAMPA","33612","$215,000","$215,000","","","0","0","One","","","","Square Feet","1959","1,181","1,459"
"1","T3465342","SLD","8301 N ALASKA ST","TAMPA","33604","$249,000","$216,000","","","7","7","One","","","","Square Feet","1985","1,050","1,356"
"1","J965423","SLD","8904 COVERED BRIDGE CT","TAMPA","33634","$225,000","$225,000","","","0","0","One","","","","Square Feet","1980","992","1,031"
"1","U8210560","SLD","2509 WESTHIGH AVE","TAMPA","33614","$225,000","$225,000","","","6","6","One","","","","Square Feet","1951","602","602"
"1","T3463083","SLD","7811 NORTH ST","RIVERVIEW","33578","$250,000","$225,000","","","12","12","One","","","","Square Feet","1964","1,371","1,628"
"1","T3467706","SLD","3202 E 28TH AVE","TAMPA","33605","$289,000","$230,000","","","28","28","One","","2","","Square Feet","1975","1,609","2,050"
"1","J965220","SLD","4542 W CLIFTON ST","TAMPA","33614","$230,000","$230,000","","","0","0","One","","","","Square Feet","1962","1,139","1,404"
"1","T3468021","SLD","3625 N 54TH ST","TAMPA","33619","$215,000","$232,000","","","3","3","One","","","","Square Feet","1997","800","1,183"
"1","T3467281","SLD","128 RUBY CIR","BRANDON","33510","$285,000","$235,000","","","19","19","One","","","","Square Feet","1958","1,245","1,385"
"1","T3463715","SLD","14933 PINECREST RD","TAMPA","33613","$235,000","$235,000","","","3","3","One","","","","Square Feet","1959","968","968"
"1","T3466971","SLD","9504 N 13TH ST","TAMPA","33612","$239,999","$239,999","","","8","8","One","","","","Square Feet","1925","816","1,008"
"1","A4579289","SLD","2004 E ESKIMO AVE","TAMPA","33604","$274,900","$241,500","","","4","4","One","","0","","Square Feet","1982","1,219","1,354"
"1","T3465817","SLD","2608 E 20TH AVE","TAMPA","33605","$247,000","$247,000","","","7","7","One","","0","","Square Feet","1942","934","984"
